Date,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressureIn,Mean Sea Level PressureIn,Min Sea Level PressureIn,Max VisibilityMiles,Mean VisibilityMiles,Min VisibilityMiles,Max Wind SpeedMPH,Mean Wind SpeedMPH,Max Gust SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees
2016-02-05,37,24,11,15,9,4,84,57,29,30.43,30.36,30.27,10,10,10,16,9,18.0,0.00,4,,202
2016-02-06,48,34,21,23,15,5,55,40,23,30.33,30.19,30.08,10,10,10,20,15,23.0,0.00,4,,229
2016-02-07,43,29,14,21,15,10,84,56,28,30.5,30.3,30.07,10,10,10,26,13,33.0,0.00,3,,129
2016-02-08,42,29,15,25,18,9,74,60,46,30.52,30.43,30.33,10,10,10,17,9,19.0,0.00,5,,158
2016-02-09,55,39,23,27,20,16,75,49,22,30.36,30.29,30.19,10,10,10,18,9,22.0,0.00,0,,192
2016-02-10,66,50,34,20,15,9,44,30,16,30.16,30.08,29.97,10,10,10,24,13,31.0,0.00,2,,253
2016-02-11,64,47,29,30,23,17,70,46,21,30.23,30.11,30.01,10,10,10,21,12,26.0,0.00,4,,169
2016-02-12,52,40,27,32,28,24,89,66,42,30.3,30.23,30.17,10,8,0,16,7,20.0,0.00,3,Fog,58
2016-02-13,63,45,27,32,25,15,100,58,16,30.17,30.03,29.87,10,4,0,25,8,32.0,0.00,5,Fog,338
2016-02-14,52,40,27,28,22,17,85,56,27,30.02,29.89,29.77,10,10,10,28,10,35.0,0.00,4,,136
2016-02-15,59,42,25,26,24,22,88,58,27,29.98,29.8,29.67,10,10,10,36,15,45.0,0.00,4,,263
2016-02-16,59,44,28,31,25,17,85,55,24,30.04,29.97,29.88,10,10,10,21,8,25.0,0.00,3,,96
2016-02-17,68,48,28,31,22,16,69,43,16,30.01,29.85,29.63,10,10,10,21,8,25.0,0.00,5,,181
2016-02-18,73,56,39,33,20,11,49,32,14,29.74,29.52,29.33,10,10,10,43,19,53.0,T,4,,242
2016-02-19,64,49,33,25,12,3,45,27,9,29.99,29.85,29.75,10,10,10,38,12,45.0,0.00,3,,231
2016-02-20,62,45,27,23,20,13,75,47,19,30.13,29.99,29.86,10,10,10,24,13,30.0,0.00,1,,112
2016-02-21,46,35,23,21,19,16,75,53,31,30.36,30.22,30.07,10,10,10,21,11,25.0,0.00,3,,124
2016-02-22,51,40,28,30,21,16,75,51,27,30.06,29.96,29.83,10,10,5,24,7,27.0,T,7,Snow,334
2016-02-23,43,35,27,25,15,6,85,54,22,30.27,30.2,30.02,10,10,10,23,12,30.0,T,4,,332
2016-02-24,50,36,22,13,8,2,57,35,13,30.27,30.16,30.07,10,10,10,23,12,26.0,0.00,1,,114
2016-02-25,48,33,17,15,10,8,67,44,21,30.41,30.3,30.2,10,10,10,16,7,19.0,0.00,1,,159
2016-02-26,61,45,28,19,16,8,58,35,12,30.3,30.16,29.99,10,10,10,21,9,24.0,0.00,1,,180
2016-02-27,72,51,30,22,14,7,44,27,9,29.99,29.79,29.66,10,10,10,31,15,40.0,0.00,3,,253
2016-02-28,60,48,36,20,16,12,44,30,15,29.97,29.91,29.76,10,10,10,31,13,39.0,0.00,2,,203
2016-02-29,63,45,27,27,17,9,78,46,13,30.06,29.87,29.72,10,10,10,37,14,45.0,0.00,5,,275
2016-03-01,58,43,27,19,12,6,56,36,16,30.19,30.05,29.87,10,10,10,20,9,23.0,0.00,4,,215
2016-03-02,61,46,30,30,14,6,46,29,12,30.01,29.81,29.69,10,10,10,44,20,53.0,0.00,3,,278
2016-03-03,64,43,22,24,16,5,81,46,10,30.13,30.02,29.9,10,10,10,23,10,28.0,0.00,5,,164
2016-03-04,58,46,33,25,19,12,61,39,17,30.14,30.01,29.87,10,10,10,22,12,26.0,0.00,5,,168
2016-03-05,67,52,36,27,23,18,59,38,16,30.11,29.91,29.73,10,10,10,28,13,33.0,0.00,5,,197
2016-03-06,69,53,36,29,20,13,64,39,14,29.76,29.58,29.45,10,10,10,21,10,24.0,0.00,4,,228
2016-03-07,55,42,29,35,29,20,89,57,24,29.69,29.48,29.35,10,10,5,31,12,39.0,0.01,5,Rain-Snow,223
2016-03-08,51,39,26,27,22,20,85,58,31,29.89,29.84,29.76,10,10,10,14,6,23.0,0.00,5,,56
2016-03-09,57,40,22,26,19,9,84,50,15,30.07,29.93,29.84,10,10,10,24,8,31.0,0.00,4,,274
2016-03-10,67,46,25,24,19,15,78,46,14,30.12,30.07,30.01,10,10,10,18,9,23.0,0.00,2,,156
2016-03-11,74,55,36,27,20,13,48,29,10,30.04,29.91,29.75,10,10,10,26,12,35.0,0.00,3,,191
2016-03-12,66,51,35,30,26,21,54,37,20,29.7,29.59,29.47,10,10,10,28,12,37.0,0.00,6,,298
2016-03-13,63,51,38,24,20,14,49,33,16,29.73,29.69,29.63,10,10,10,18,8,24.0,0.00,4,,223
2016-03-14,65,51,36,26,20,14,53,34,14,29.68,29.59,29.49,10,10,10,39,16,49.0,0.00,4,,260
2016-03-15,47,40,32,22,8,-1,56,36,15,29.97,29.88,29.7,10,10,10,35,17,46.0,0.00,3,,304
2016-03-16,48,40,31,21,10,3,61,39,17,30.06,30.0,29.95,10,10,10,35,16,41.0,0.00,5,,260
2016-03-17,36,30,24,28,24,12,92,70,47,30.09,30.01,29.95,10,4,0,17,10,21.0,0.21,8,Fog-Snow,357
2016-03-18,30,26,21,26,19,13,92,71,50,30.34,30.21,30.07,10,5,0,23,8,26.0,0.07,7,Snow,20
2016-03-19,37,29,20,19,13,6,84,58,32,30.43,30.37,30.24,10,9,4,13,7,17.0,T,4,Snow,310
2016-03-20,58,39,19,21,12,5,68,41,13,30.4,30.21,30.01,10,10,10,17,11,20.0,0.00,1,,184
2016-03-21,73,57,41,24,18,11,41,26,11,29.97,29.78,29.6,10,10,10,20,11,24.0,0.00,6,,201
2016-03-22,73,56,39,29,15,1,45,26,7,29.59,29.4,29.26,10,10,10,33,14,42.0,T,6,Rain,243
2016-03-23,42,28,13,35,27,15,92,81,70,30.19,29.78,29.34,10,3,0,53,23,59.0,0.49,7,Fog-Rain-Snow,347
2016-03-24,40,25,10,26,20,7,88,66,44,30.19,30.02,29.83,10,10,6,18,12,21.0,0.00,3,,180
2016-03-25,43,35,27,29,25,18,75,62,49,29.91,29.79,29.72,10,9,2,21,9,29.0,0.01,6,Snow,147
2016-03-26,34,29,23,27,22,17,92,76,59,30.23,30.04,29.92,10,6,1,20,9,23.0,0.02,7,Snow,34
2016-03-27,50,37,23,26,18,11,70,49,28,30.21,30.08,29.94,10,10,10,20,14,24.0,0.00,1,,190
2016-03-28,65,47,29,31,25,20,69,44,19,29.9,29.73,29.55,10,10,10,25,11,30.0,0.00,6,,185
2016-03-29,61,49,36,38,33,27,85,63,40,29.67,29.54,29.39,10,10,7,26,12,32.0,0.04,6,Rain-Thunderstorm,336
2016-03-30,47,38,29,35,30,20,89,62,34,29.85,29.72,29.58,10,7,1,35,13,40.0,0.04,7,Rain-Snow,348
2016-03-31,44,36,28,31,25,15,85,61,37,30.05,29.9,29.78,10,8,1,24,14,29.0,0.01,6,Snow,317
2016-04-01,51,38,25,23,18,12,75,48,21,30.22,30.15,30.06,10,10,10,23,9,29.0,0.00,3,,230
2016-04-02,63,48,32,25,21,19,61,40,19,30.22,30.1,29.94,10,10,10,15,9,17.0,0.00,2,,208
2016-04-03,69,52,34,29,23,21,57,37,16,30.07,29.96,29.91,10,10,10,14,8,16.0,0.00,1,,284
2016-04-04,72,55,38,31,27,20,64,40,15,30.11,30.01,29.88,10,10,10,17,8,20.0,0.00,4,,194
2016-04-05,67,53,38,31,23,12,49,33,16,30.03,29.89,29.79,10,10,10,43,15,53.0,0.00,4,,278
2016-04-06,71,51,30,22,16,14,39,26,12,30.1,30.01,29.92,10,10,10,28,14,34.0,0.00,3,,272
2016-04-07,65,51,36,31,28,21,62,44,25,30.18,30.09,29.96,10,10,10,18,9,24.0,0.00,2,,81
2016-04-08,66,50,34,33,28,22,75,47,19,30.18,30.07,29.93,10,10,10,15,9,17.0,0.00,4,,192
2016-04-09,72,56,39,41,30,25,59,39,19,29.91,29.69,29.55,10,10,10,32,9,40.0,T,4,Rain,225
2016-04-10,68,53,38,39,33,28,92,59,26,30.06,29.78,29.59,10,10,6,26,10,30.0,0.13,6,Rain-Thunderstorm,27
2016-04-11,60,49,38,38,36,35,92,68,43,30.11,30.03,29.95,10,10,10,17,6,22.0,0.00,7,Rain,102
2016-04-12,71,54,36,43,35,27,85,53,20,30.05,29.97,29.88,10,10,10,35,9,44.0,0.01,4,Rain-Thunderstorm,239
2016-04-13,72,57,41,38,34,29,76,49,22,29.99,29.89,29.78,10,10,10,23,10,28.0,0.00,3,,202
2016-04-14,77,62,47,35,30,25,60,38,16,29.79,29.6,29.41,10,10,10,30,12,50.0,0.00,5,,219
2016-04-15,54,44,34,34,31,27,73,56,38,29.92,29.68,29.42,10,9,5,32,14,38.0,0.14,7,Rain-Snow,24
2016-04-16,34,33,31,32,30,29,96,91,85,30.2,30.05,29.88,5,0,0,33,19,40.0,1.19,8,Fog-Snow,339
2016-04-17,36,33,30,30,29,27,92,84,75,30.38,30.28,30.17,10,5,0,29,13,34.0,0.06,8,Snow,343
2016-04-18,39,34,29,28,27,25,92,76,59,30.37,30.3,30.23,10,10,10,17,8,19.0,0.00,7,,242
2016-04-19,44,38,31,33,31,26,89,77,65,30.21,30.14,30.06,10,8,2,20,8,22.0,0.11,7,Rain-Snow,185
2016-04-20,55,44,32,37,32,26,82,64,46,30.06,30.02,29.98,10,10,9,13,7,17.0,T,5,Fog-Rain,207
2016-04-21,64,51,37,37,34,28,76,51,26,30.14,30.09,30.06,10,10,10,16,7,19.0,0.00,1,,192
2016-04-22,77,58,39,42,34,25,79,48,16,30.09,29.89,29.69,10,10,10,22,10,27.0,0.00,2,,182
2016-04-23,77,63,49,38,32,24,51,34,16,29.69,29.55,29.37,10,10,10,35,21,43.0,0.00,5,,214
2016-04-24,67,53,39,35,25,20,76,49,22,29.66,29.55,29.49,10,10,10,31,13,40.0,0.00,4,,268
2016-04-25,72,55,38,42,35,26,80,50,20,29.65,29.52,29.38,10,10,10,36,17,44.0,0.02,5,Rain-Thunderstorm,146
2016-04-26,53,43,33,41,33,26,82,66,50,29.79,29.6,29.36,10,10,10,25,12,31.0,T,6,Thunderstorm,335
2016-04-27,54,41,27,29,26,23,78,58,38,29.88,29.79,29.72,10,10,7,20,9,24.0,T,5,Snow,37
2016-04-28,40,38,35,32,29,24,82,73,64,30.04,29.96,29.86,10,8,1,16,10,19.0,0.02,8,Snow,95
2016-04-29,36,34,31,32,30,29,89,86,82,30.03,29.96,29.89,9,1,0,14,6,16.0,0.73,8,Fog-Snow,51
2016-04-30,35,33,31,32,29,27,92,87,82,30.22,30.01,29.87,3,1,0,25,16,31.0,0.15,8,Fog-Snow,344
2016-05-01,42,37,32,30,29,26,89,71,53,30.35,30.28,30.2,10,6,1,22,9,25.0,0.05,8,Rain-Snow,334
2016-05-02,59,44,28,29,25,22,78,51,24,30.3,30.16,30.05,10,10,10,13,6,20.0,0.00,2,,249
2016-05-03,66,53,40,33,30,26,60,43,26,30.13,30.1,30.06,10,10,10,26,11,32.0,0.00,2,,318
2016-05-04,74,59,44,39,31,27,66,43,19,30.14,30.06,29.99,10,10,10,16,10,19.0,0.00,1,,178
2016-05-05,79,62,44,42,35,26,61,39,16,30.01,29.91,29.83,10,10,10,21,10,26.0,0.00,5,,187
2016-05-06,80,65,50,43,38,33,63,41,19,29.96,29.76,29.65,10,10,10,26,10,33.0,T,5,Rain-Thunderstorm,203
2016-05-07,55,45,35,47,43,32,89,78,66,29.92,29.78,29.65,10,9,6,33,15,33.0,0.02,6,Rain-Thunderstorm,326
2016-05-08,65,49,32,40,35,29,89,63,36,29.81,29.68,29.52,10,9,0,39,10,47.0,T,6,Rain-Thunderstorm,132
2016-05-09,67,54,41,39,36,32,82,57,31,29.63,29.53,29.49,10,10,10,23,8,30.0,T,6,Rain,288
2016-05-10,65,54,43,45,41,36,83,63,43,30.03,29.81,29.59,10,9,1,29,11,33.0,0.36,6,Rain-Thunderstorm,73
2016-05-11,61,50,38,40,36,31,85,61,36,30.22,30.11,29.99,10,10,3,22,9,30.0,0.05,4,Rain-Thunderstorm,142
2016-05-12,71,54,37,37,32,26,85,53,20,30.25,30.15,30.03,10,10,10,24,9,29.0,0.00,1,,198
2016-05-13,71,59,46,41,33,23,61,39,17,30.24,30.1,29.97,10,10,10,26,14,31.0,0.00,6,,85
2016-05-14,55,48,40,39,36,31,85,72,59,30.36,30.17,30.05,10,10,7,24,13,31.0,0.00,8,,339
2016-05-15,59,50,41,44,38,31,80,66,51,30.15,29.9,29.76,10,10,7,26,8,32.0,0.01,7,Rain,325
2016-05-16,48,44,39,45,41,39,100,93,86,30.21,29.95,29.77,10,1,0,24,11,29.0,0.26,8,Fog-Rain,4
2016-05-17,48,44,39,44,39,37,100,83,66,30.32,30.24,30.18,10,9,5,14,7,16.0,0.08,8,Rain,44
2016-05-18,66,52,38,42,39,35,86,63,40,30.2,30.02,29.89,10,10,10,17,10,21.0,0.00,3,,170
2016-05-19,73,58,43,42,38,33,76,51,25,29.88,29.73,29.63,10,10,10,20,9,23.0,0.00,3,,182
2016-05-20,79,64,49,44,41,37,74,49,23,29.71,29.67,29.61,10,10,10,25,14,32.0,0.00,5,,170
2016-05-21,83,68,53,55,42,25,77,47,16,29.86,29.66,29.55,10,10,10,30,15,37.0,0.00,5,Fog,175
2016-05-22,77,62,47,51,43,24,93,59,25,29.88,29.68,29.5,10,8,0,24,13,29.0,0.00,3,Fog,47
2016-05-23,68,55,42,45,40,33,82,57,32,29.94,29.8,29.71,10,10,8,33,12,38.0,0.07,5,Rain-Thunderstorm,128
2016-05-24,73,58,43,53,46,39,89,67,44,29.86,29.76,29.66,10,10,7,24,11,33.0,0.04,4,Rain-Thunderstorm,124
2016-05-25,73,59,45,48,43,39,89,61,33,29.88,29.81,29.72,10,10,10,22,9,29.0,0.00,3,,55
2016-05-26,67,56,44,46,43,39,92,70,48,29.92,29.83,29.75,10,9,4,26,9,27.0,1.15,7,Rain-Hail-Thunderstorm,41
2016-05-27,58,52,45,47,43,40,93,72,51,29.91,29.81,29.74,10,9,4,25,11,34.0,0.23,6,Rain-Thunderstorm,349
2016-05-28,72,58,43,47,41,35,83,58,32,30.05,29.93,29.84,10,10,10,13,9,24.0,T,3,Rain-Thunderstorm,159
2016-05-29,76,60,44,45,41,37,83,55,27,30.11,29.98,29.91,10,10,10,36,9,47.0,0.00,4,,220
2016-05-30,78,62,46,49,42,36,80,52,23,30.04,29.89,29.76,10,10,8,33,9,40.0,0.01,4,Rain-Thunderstorm,182
2016-05-31,66,57,47,52,46,40,89,75,60,30.18,30.03,29.9,10,10,10,22,8,28.0,0.05,7,Rain-Thunderstorm,50
2016-06-01,73,62,51,53,50,44,89,62,35,30.21,30.04,29.87,10,9,1,21,9,25.0,0.13,6,Rain-Thunderstorm,109
2016-06-02,79,64,49,53,47,39,89,57,25,30.0,29.94,29.88,10,10,10,24,9,31.0,0.00,3,,194
2016-06-03,78,68,58,53,47,39,72,53,33,30.09,29.98,29.86,10,10,10,21,9,25.0,0.00,5,,63
2016-06-04,77,66,55,51,46,43,80,55,29,30.19,30.12,30.06,10,10,10,16,7,19.0,0.00,3,,29
2016-06-05,82,66,50,52,48,43,80,55,30,30.09,29.97,29.89,10,10,10,14,7,17.0,0.00,2,,21
2016-06-06,83,70,56,54,51,46,86,60,34,30.21,29.94,29.83,10,10,5,30,9,43.0,0.38,5,Rain-Thunderstorm,191
2016-06-07,80,66,51,59,51,38,83,64,45,30.05,29.86,29.77,10,10,10,26,8,45.0,T,5,Rain-Thunderstorm,252
2016-06-08,83,68,53,55,49,44,71,52,33,29.99,29.78,29.73,10,10,10,22,9,29.0,T,4,Thunderstorm,245
2016-06-09,88,73,57,54,47,37,67,45,23,29.99,29.77,29.66,10,10,10,26,9,36.0,0.00,4,Rain-Thunderstorm,224
2016-06-10,90,74,57,55,48,41,72,48,23,29.81,29.78,29.72,10,10,10,18,10,25.0,0.00,5,,175
2016-06-11,90,73,55,57,49,43,72,47,21,30.11,29.83,29.68,10,10,10,24,11,30.0,T,4,Rain-Thunderstorm,177
2016-06-12,85,72,59,58,54,48,84,57,29,30.25,29.98,29.81,10,10,3,30,8,37.0,0.44,6,Rain-Thunderstorm,336
2016-06-13,76,66,55,60,55,52,93,71,49,30.23,29.98,29.8,10,10,1,43,7,54.0,0.63,6,Rain-Thunderstorm,94
2016-06-14,81,67,52,54,46,39,93,58,23,29.86,29.76,29.69,10,10,8,23,11,28.0,0.00,1,,241
2016-06-15,86,71,55,49,44,38,72,46,19,29.82,29.72,29.62,10,10,10,22,11,28.0,0.00,1,,181
2016-06-16,90,72,54,55,40,31,55,34,13,29.78,29.7,29.65,10,10,6,15,8,21.0,0.00,0,,171
2016-06-17,85,71,57,59,49,37,70,49,27,30.22,29.92,29.79,10,10,10,22,8,28.0,0.00,1,,48
2016-06-18,90,75,59,58,52,47,69,47,24,30.34,30.03,29.94,10,10,10,26,12,36.0,0.00,1,,155
2016-06-19,97,81,65,57,50,36,73,43,12,30.19,29.95,29.89,10,10,10,21,10,27.0,0.00,4,,147
2016-06-20,73,67,61,61,57,51,90,70,49,30.46,30.18,29.99,10,10,6,16,7,21.0,T,5,Rain,343
2016-06-21,98,77,56,60,52,44,93,55,17,30.11,29.91,29.72,10,10,6,22,9,28.0,0.01,6,Rain-Thunderstorm,178
2016-06-22,80,72,63,52,48,39,56,42,27,30.18,29.93,29.75,10,10,10,30,10,41.0,0.00,6,,228
2016-06-23,92,75,57,57,51,47,77,49,21,30.21,29.94,29.85,10,10,5,37,9,46.0,0.02,5,Rain-Thunderstorm,235
2016-06-24,92,75,58,55,48,36,78,47,16,30.03,29.81,29.74,10,10,10,33,9,56.0,T,4,,189
2016-06-25,84,71,58,55,49,42,67,47,26,30.03,29.88,29.76,10,10,10,24,10,29.0,0.01,5,,86
2016-06-26,92,73,53,54,48,39,83,50,16,30.24,29.99,29.92,10,10,10,17,8,23.0,0.00,1,,184
2016-06-27,93,77,61,54,49,35,67,41,15,30.35,30.08,29.98,10,10,10,24,10,32.0,0.00,3,Rain-Thunderstorm,173
2016-06-28,93,75,57,60,49,34,93,54,15,30.31,30.1,29.94,10,10,8,35,10,45.0,T,4,Fog-Rain-Thunderstorm,214
2016-06-29,92,74,56,55,51,44,87,54,20,30.27,30.03,29.9,10,10,9,24,8,30.0,0.00,5,Thunderstorm,7
2016-06-30,82,70,57,57,54,48,87,62,36,30.21,30.02,29.88,10,10,10,26,8,33.0,T,7,,339
2016-07-01,78,69,60,61,58,56,97,74,50,30.16,29.97,29.83,10,9,2,23,7,28.0,0.61,7,Rain-Thunderstorm,152
2016-07-02,79,69,59,60,56,51,93,67,40,29.94,29.88,29.83,10,10,4,14,6,22.0,0.15,6,Rain,243
2016-07-03,89,74,59,54,47,38,78,50,21,30.08,29.88,29.79,10,10,10,38,9,45.0,T,5,Rain-Thunderstorm,240
2016-07-04,92,78,63,49,44,38,52,35,17,30.07,29.83,29.76,10,10,10,26,11,33.0,0.00,4,,208
2016-07-05,92,76,60,52,46,38,72,45,17,30.03,29.79,29.73,10,10,9,24,9,29.0,T,4,Rain-Thunderstorm,190
2016-07-06,96,76,55,52,42,31,77,44,11,29.82,29.7,29.6,10,10,10,17,8,23.0,0.00,2,,168
2016-07-07,88,74,59,58,42,33,66,44,21,29.86,29.77,29.62,10,10,10,18,9,23.0,0.00,2,,104
2016-07-08,90,76,62,59,48,37,84,51,17,30.13,29.89,29.82,10,10,10,35,12,47.0,T,4,Rain-Thunderstorm,168
2016-07-09,97,79,61,52,42,28,60,35,9,29.89,29.82,29.73,10,10,10,21,10,26.0,0.00,2,,192
2016-07-10,102,84,65,54,37,25,63,35,7,29.91,29.57,29.4,10,10,10,25,12,30.0,0.00,3,,208
2016-07-11,89,74,58,47,38,30,67,41,15,29.82,29.65,29.45,10,10,10,22,11,29.0,0.00,1,,97
2016-07-12,91,71,51,53,41,30,77,46,15,29.82,29.76,29.68,10,10,10,25,11,31.0,0.02,2,Rain,140
2016-07-13,90,72,54,49,36,28,61,36,11,30.08,29.86,29.74,10,10,10,21,9,24.0,0.00,1,,91
2016-07-14,86,72,57,55,47,40,63,43,23,30.06,29.97,29.9,10,10,10,24,11,29.0,0.00,2,,37
2016-07-15,88,74,59,57,50,33,84,50,16,30.15,29.91,29.86,10,10,10,28,14,35.0,0.00,3,,88
2016-07-16,97,78,58,56,48,34,87,50,12,29.99,29.77,29.65,10,10,8,25,10,32.0,T,5,Fog-Rain-Thunderstorm,5
2016-07-17,91,76,60,60,52,46,68,46,23,30.25,29.92,29.72,10,10,10,25,12,29.0,T,4,Rain-Thunderstorm,101
2016-07-18,95,77,58,61,54,46,86,53,20,30.29,30.06,29.92,10,10,6,30,10,37.0,0.11,5,Rain-Thunderstorm,211
2016-07-19,95,80,65,61,54,48,81,52,22,30.23,29.99,29.88,10,10,5,31,9,39.0,0.17,5,Rain-Thunderstorm,270
2016-07-20,94,78,62,56,51,45,73,46,19,30.0,29.94,29.9,10,10,10,22,9,29.0,0.00,4,,222
2016-07-21,96,80,63,54,48,40,63,39,15,29.99,29.96,29.93,10,10,10,28,9,34.0,0.00,4,,244
2016-07-22,96,83,70,50,48,44,51,35,19,29.97,29.89,29.81,10,10,10,21,9,24.0,T,5,,236
2016-07-23,99,83,67,54,45,36,57,35,12,30.14,29.86,29.74,10,10,10,37,12,45.0,T,4,Rain-Thunderstorm,187
2016-07-24,96,79,61,56,49,36,67,40,12,30.17,29.94,29.81,10,10,6,54,9,74.0,T,4,Thunderstorm,156
2016-07-25,97,78,59,55,50,40,84,49,14,30.11,29.94,29.83,10,10,10,36,12,42.0,0.00,2,,154
2016-07-26,93,78,63,52,44,35,60,37,14,30.14,29.89,29.83,10,10,10,18,8,23.0,0.00,5,,197
2016-07-27,93,77,60,60,51,40,78,49,20,30.0,29.92,29.85,10,10,10,31,12,38.0,0.00,2,,73
2016-07-28,85,72,59,59,57,54,84,59,34,30.02,29.95,29.89,10,10,10,24,10,28.0,0.00,3,,64
2016-07-29,89,75,60,60,56,42,90,56,21,30.14,29.95,29.82,10,10,10,30,11,35.0,T,4,Rain-Thunderstorm,121
2016-07-30,94,79,64,60,52,41,78,48,17,30.06,29.8,29.7,10,10,8,29,12,35.0,0.00,2,,15
2016-07-31,95,80,64,58,46,40,53,34,15,30.0,29.77,29.69,10,10,8,23,10,30.0,0.01,4,Rain-Thunderstorm,245
2016-08-01,96,78,59,54,41,26,67,38,9,29.9,29.83,29.78,10,10,10,23,10,29.0,0.00,3,,280
2016-08-02,94,79,63,57,48,41,61,40,18,30.23,30.0,29.89,10,10,6,29,12,34.0,T,5,Rain-Thunderstorm,168
