,Object_Description,Program_Description,SubFund_Description,Job_Title_Description,Facility_or_Department,Sub_Object_Description,Location_Description,FTE,Function_Description,Position_Extra,Text_4,Total,Text_2,Text_3,Fund_Description,Text_1
9209,Misc Operating Expenses,Undistributed,NaN,NaN,NaN,General,Student Services,NaN,General Administration,NaN,NaN,3.01E+02,NaN,NaN,General Fund,NaN
9817,Professional Salaries,Prekindergarten,NaN,COUNS- ELEM,NaN,Overcrowding,Pre-K Center,0.5,"Guidance, Counseling and Evaluation Services",NaN,NaN,2.92E+04,NaN,NaN,General Fund,NaN
13881,Extra Duty/Signing Bonus Pay,Athletics and Related,NaN,"ASST COACH,NVFB",NaN,General,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,4.57E+03,NaN,NaN,Athletics,NaN
13896,Food/Refreshment,Undistributed,NaN,NaN,NaN,Intergovernment Relation,Legal Services,NaN,General Administration,NaN,NaN,2.50E+02,NaN,NaN,General Fund,NaN
13933,NaN,Accelerated Education,NaN,NaN,NaN,Distributed from departments,State/Federal Compliance & Accountability,NaN,Instruction,NaN,NaN,2.39E+04,NaN,NaN,Title I- Part A,NaN
14337,Professional Salaries,Special Education,NaN,NaN,NaN,General,School,NaN,Curriculum & Instructional Staff Development,NaN,NaN,3.60E-01,NaN,NaN,IDEA-B Formula,NaN
16001,Salaries for Support Personnel,Special Education,NaN,BUS DRIVER,NaN,General,Transportation Office,1,Student Transportation,NaN,NaN,3.48E+04,NaN,NaN,General Fund,NaN
16249,Salaries And Wages For Teachers And Other Professi,PRE-K,State Ed. Allotment,"TEACHER, PRE-K",All Campus Payroll,Salaries And Wages For Teachers And Other Professi,School,0.5,Instruction,TEACHER BACHELOR,NaN,2.68E+04,NaN,NaN,General Operating Fund,REGULAR PAY
16307,EXTRA DUTY PAY-INSTRUCTIONAL,NaN,NaN,"TEACHER, FIFTH",NaN,NaN,School,NaN,BASIC (FEFP K-12),NaN,NaN,1.95E+03,NaN,NaN,GENERAL FUND,LOCAL ALLOC SAI
17098,Personal Services - Other Compensation,Support - TAP,NaN,NaN,NaN,NaN,NaN,0,NaN,TIME CARD CERTIFIEDAddl,Teacher Advancement Program (TAP),2.31E+03,NaN,NaN,ITEMFA Schools Partnership,TEACHER ADVANCEMENT PROGRAM
17340,PARA PROFESSIONAL,NaN,NaN,ENRICHMENT ASSISTANT,NaN,NaN,CHARTER,0.5,BASIC (FEFP K-12),NaN,NaN,1.98E+04,NaN,NaN,CONVERSION CHARTER SCHOOLS,NaN
21426,Salaries for Support Personnel,Special Education,NaN,TCHR ASST- SP E,NaN,General,School,1,Instruction,NaN,NaN,3.19E+04,NaN,NaN,General Fund,NaN
21898,Salaries for Support Personnel,Special Education,NaN,BUS MONITOR,NaN,General,Transportation Office,1,Student Transportation,NaN,NaN,3.03E+04,NaN,NaN,General Fund,NaN
24106,Professional Salaries,Special Education,NaN,PHYS THERAPIST,NaN,Occupation Therapist,Special Education AH/VH,1,Instruction,NaN,NaN,5.73E+04,NaN,NaN,IDEA-B Formula,NaN
24206,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Teacher, Librarian H S",NaN,NaN,NaN,NaN,NON-PROJECT,UNDESIGNATED,NaN,-5.68E+01,NaN,n/a,NaN,EMPLOYEE BENEFITS
24535,Employee Allowance,Basic Educational Services,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,1.70E-01,NaN,NaN,General Fund,NaN
25753,OTHER PERSONAL SERVICES,NaN,NaN,FOOD SERVICE ASSISTANT,NaN,NaN,School,0,FOOD SERVICE,NaN,NaN,6.39E+01,NaN,NaN,FOOD SERVICES,NaN
26418,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Teacher, Librarian Elem",NaN,NaN,NaN,NaN,NON-PROJECT,UNDESIGNATED,NaN,-9.22E+01,NaN,n/a,NaN,EMPLOYEE BENEFITS
26913,Salaries for Support Personnel,Undistributed,NaN,REGISTRAR IV,NaN,General,School,1,School Leadership,NaN,NaN,6.02E+04,NaN,NaN,General Fund,NaN
27069,TELEPHONE/FACSIMILE SERVICES,PUBLIC COMMUNICATIONS SERVICES,GENERAL FUND,(blank),NaN,NaN,PUBLIC INFORMATION AND SERVICE,NaN,NON-PROJECT,UNDESIGNATED,NaN,4.52E+03,COMMUNICATIONS OFFICE,n/a,NaN,CENTRAL
30800,Extra Duty/Signing Bonus Pay,Athletics and Related,NaN,"AC, SOCCER",NaN,General,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,4.53E+03,NaN,NaN,Athletics,NaN
31691,Professional Salaries,Undistributed,NaN,ADM SUP-PUB INF,NaN,General,Superintendent,1,General Administration,NaN,NaN,8.92E+04,NaN,NaN,General Fund,NaN
33760,Copier Rental,Basic Educational Services,NaN,NaN,NaN,Line Item that is paid with Campus' money,School,NaN,Instruction,NaN,NaN,4.45E+04,NaN,NaN,General Fund,NaN
35318,EMPLOYEE BENEFITS,GENERAL HIGH SCHOOL EDUCATION,GENERAL FUND,ELA General Assignment,NaN,NaN,NaN,NaN,STATE ELPA (ENG LANG PROF ACT),PARAPROFESSIONAL,NaN,1.38E+03,NaN,Regular,NaN,REGULAR INSTRUCTION
36160,Professional Salaries,Accelerated Education,NaN,SOCIAL SVCS SPE,NaN,General,Learning Support Services,1,Social Work Services,NaN,NaN,6.35E+04,NaN,NaN,General Fund,NaN
37855,Professional Salaries,Special Education,NaN,OCCUP THER,NaN,Occupation Therapist,Special Education AH/VH,1,Instruction,NaN,NaN,6.25E+04,NaN,NaN,General Fund,NaN
38078,Salaries for Support Personnel,Special Education,NaN,TCHR ASST- SP E,NaN,General,School,1,Instruction,NaN,NaN,3.52E+04,NaN,NaN,General Fund,NaN
38553,Employee Allowance,Undistributed,NaN,CELL PHONE,NaN,Mobile Phone,Network Support,NaN,Data Processing Services,NaN,NaN,6.56E+02,NaN,NaN,General Fund,NaN
38813,RETIREMENT CONTRIB.,EMPLOYEE BENEFITS,GENERAL FUND,Nurse,NaN,NaN,NaN,NaN,EMPLOYEE RETIREMENT,UNDESIGNATED,NaN,4.03E+02,NaN,n/a,NaN,EMPLOYEE BENEFITS
39614,Extra Duty/Signing Bonus Pay,Accelerated Education,NaN,NaN,NaN,Test Prep,School,NaN,Instruction,NaN,NaN,1.31E+04,NaN,NaN,General Fund,NaN
40687,EMPLOYEE BENEFITS,OFFICE OF THE SUPERINTENDENT,GENERAL FUND,Sr Academic Policy Advisor,NaN,NaN,SUPERINTENDENT OF SCHOOLS,NaN,NON-PROJECT,ADMINISTRATOR,NaN,1.80E+03,OFFICE OF THE SUPERINTENDENT,n/a,NaN,GENERAL ADMINISTRATION
40883,Salaries for Support Personnel,Undistributed,NaN,FOOD PROD SP IV,NaN,General,School,0.8125,Food Services,NaN,NaN,2.52E+04,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
41261,Purchased Services,NaN,Support Services - Instructional Staff,NaN,NaN,Purchased Services,NaN,NaN,Instruction And Curriculum Development Services *,NaN,NaN,1.13E+04,NaN,NaN,Special Trust,TECH-GEMS TRAININ
45396,Salaries for Support Personnel,Special Education,NaN,BUS DRIVER,NaN,General,Transportation Office,1,Student Transportation,NaN,NaN,3.62E+04,NaN,NaN,General Fund,NaN
46416,General Supplies,State Comp.Ed.-Support Title I Campuses,NaN,NaN,NaN,General,School,NaN,Curriculum & Instructional Staff Development,NaN,NaN,6.00E+03,NaN,NaN,Title I- Part A,NaN
47096,SALARIES OF PART TIME EMPLOYEE,INSTRUCTIONAL STAFF TRAINING,ARRA - STIMULUS,"Teacher, Short Term Sub",NaN,NaN,SPECIAL EDUCATION,0.00431,IDEA ARRA,PROFESSIONAL-INSTRUCTIONAL,NaN,1.11E+02,NaN,n/a,NaN,INSTRUCTIONAL STAFF
48212,Professional Salaries,Accelerated Education,NaN,T-EL/SE ELY CHI,NaN,Stud Support,School,1,Instruction,NaN,NaN,5.26E+04,NaN,NaN,General Fund,NaN
48263,Employee Allowances,Services To Students With Disabilities (Special Education),Idea Part B Formula,PROGRAM DIRECTOR,Instruction And Curriculum,Travel Allowances,Unallocated,NaN,Instructional Leadership,PROGRAM DIRECTOR,Regular Salary,1.81E+03,NaN,NaN,Idea Part B Formula,TRAVEL
48802,Professional Salaries,Accelerated Education,NaN,T-HS AVID,NaN,AVID supplement,School,0.2,Instruction,NaN,NaN,1.06E+04,NaN,NaN,General Fund,NaN
49143,Personal Services - Substitute Teachers Certified,Instruction - SPED,NaN,NaN,NaN,NaN,NaN,0,NaN,SUBSTITUTE TEACHER,Special Education Instruction,7.14E+01,NaN,NaN,General Purpose School,NaN
50120,Professional Salaries,Special Education,NaN,SPEECH PATH,NaN,Speech Therapist,School,0.69,Instruction,NaN,NaN,3.93E+04,NaN,NaN,General Fund,NaN
50465,Personal Services - Other Personnel,District Administration,NaN,DIR HUMAN CAPITAL STRATEGY,HUMAN RESOURCES,NaN,Central Office,1,NaN,EXECUTIVE NC DIRECTR,Race to the Top,1.07E+05,NaN,NaN,School Federal Projects,RACE TO THE TOP
51175,CONFERENCE REGISTRATION,THINKING MAPS,NaN,NaN,NaN,NaN,School,NaN,INST STAFF TRAINING SVCS,NaN,NaN,5.10E+03,NaN,NaN,FED THRU STATE-CASH ADVANCE,TITLE I
52565,Professional Salaries,Undistributed,NaN,ADMIN INTERN,NaN,General,Chief Operations Officer,1,Plant Maintenance & Operations,NaN,NaN,6.53E+04,NaN,NaN,General Fund,NaN
52862,Salaries for Support Personnel,Undistributed,NaN,RISK MANAGER,NaN,General,Insurance and Risk Management,1,General Administration,NaN,NaN,9.38E+04,NaN,NaN,Workers Comp Self Insurance,NaN
53356,Employee Allowance,Undistributed,NaN,CELL PHONE,NaN,Mobile Phone,Network Support,NaN,Data Processing Services,NaN,NaN,5.26E+02,NaN,NaN,General Fund,NaN
53664,Salaries for Support Personnel,Special Education,NaN,TCHR ASST- SP E,NaN,General,School,1,Instruction,NaN,NaN,3.05E+04,NaN,NaN,General Fund,NaN
54007,Electricity,Undistributed,NaN,NaN,NaN,General,School,NaN,Plant Maintenance & Operations,NaN,NaN,8.01E+04,NaN,NaN,General Fund,NaN
55597,Miscellaneous Contracted Srvcs,Undistributed,NaN,NaN,NaN,Police Dept Courier Srvc,Early Childhood Center,NaN,Food Services,NaN,NaN,2.46E+02,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
56374,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Teacher, Elementary",NaN,NaN,NaN,NaN,NON-PROJECT,UNDESIGNATED,NaN,-9.32E+02,NaN,n/a,NaN,EMPLOYEE BENEFITS
57394,ADDITIONAL/EXTRA DUTY PAY/STIP,INSTRUCTIONAL STAFF TRAINING,GENERAL FUND,Speech Language Pathologst,NaN,NaN,TEACHER LEARNING & LEADERSHIP,NaN,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,NaN,4.63E+02,TEACHER LEARNING & LEADERSHIP,n/a,NaN,INSTRUCTIONAL STAFF
57469,EMPLOYEE BENEFITS,NURSING SERVICES,GENERAL FUND,Nurse,NaN,NaN,SCHOOL NURSE SERVICES,NaN,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,NaN,2.62E+02,SCHOOL NURSE SERVICES,n/a,NaN,STUDENTS
57625,Employee Allowance,Undistributed,NaN,TRAVEL,NaN,General,Student Services,NaN,General Administration,NaN,NaN,3.41E+02,NaN,NaN,General Fund,NaN
57830,General Supplies,Undistributed,NaN,NaN,NaN,General,Office of Innovation and Development,NaN,General Administration,NaN,NaN,1.64E+04,NaN,NaN,General Fund,NaN
59076,Salaries for Support Personnel,Undistributed,NaN,CLERK IV- SCH,NaN,General,School,1,School Leadership,NaN,NaN,3.31E+04,NaN,NaN,General Fund,NaN
59396,TRAVEL AND REGISTRATION,SUPPORT SERVICES-INSTRUCTIONAL,GENERAL FUND,(blank),NaN,NaN,NaN,NaN,NON-PROJECT,UNDESIGNATED,NaN,7.22E+02,INSTRUCTIONAL SUPPORT TEAMS,n/a,NaN,INSTRUCTIONAL STAFF
59612,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Coordinator, Central Curr",NaN,NaN,HUMANITIES,NaN,NON-PROJECT,UNDESIGNATED,NaN,-1.29E+03,NaN,n/a,NaN,EMPLOYEE BENEFITS
60870,"Water,Wastewater, Sanitation",Undistributed,NaN,NaN,NaN,General,School,NaN,Plant Maintenance & Operations,NaN,NaN,4.77E+04,NaN,NaN,General Fund,NaN
60990,Extra Duty/Overtime,Undistributed,NaN,NaN,NaN,Line Item that is paid with Campus' money,School,NaN,School Leadership,NaN,NaN,3.29E+03,NaN,NaN,General Fund,NaN
62039,Non Food,Undistributed,NaN,NaN,NaN,General,School,NaN,Food Services,NaN,NaN,1.75E+04,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
62190,Professional Salaries,Undistributed,NaN,EVAL SPEC. III,NaN,General,Office of Program Evaluation,0.5,"Guidance, Counseling and Evaluation Services",NaN,NaN,3.17E+04,NaN,NaN,General Fund,NaN
63804,OTHER PURCHASED SERVICES,LEGAL SERVICES,GENERAL FUND,(blank),NaN,NaN,SCHOOL ATTORNEY,NaN,NON-PROJECT,UNDESIGNATED,NaN,1.76E+04,LEGAL SERVICES,n/a,NaN,GENERAL ADMINISTRATION
64627,NaN,NaN,LOCAL,"CLERK,DATA ENTRY,TYPING",NaN,NaN,NaN,1,NaN,NaN,NaN,4.17E+04,SCHOOL ADMINISTRATIVE SUPPORT,NaN,NaN,NaN
65252,Professional Salaries,State Comp.Ed.-Support Title I Campuses,NaN,INSTR/CURR SPEC,NaN,General,School,0.5,Instruction,NaN,NaN,3.06E+04,NaN,NaN,Title I- Part A,NaN
65470,TEACHER COVERAGE FOR TEACHER,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,Library Tech I,NaN,NaN,NaN,NaN,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,NaN,4.72E+02,TEACHER SUBS,Regular,NaN,REGULAR INSTRUCTION
66394,Employee Allowance,Accelerated Education,NaN,TRAVEL,NaN,General,Community Education-South,NaN,Community Services,NaN,NaN,2.63E+03,NaN,NaN,General Fund,NaN
66536,Other Professional and Technical Services,NaN,Regular Instruction,NaN,NaN,Professional And Technical Services *,NaN,NaN,Middle/Junior High,NaN,NaN,-1.15E+04,NaN,NaN,Special Trust,CTR COMM SOL-BRICK MALE
67161,Professional Salaries,Accelerated Education,NaN,COUNS- ELEM,NaN,General,School,1,"Guidance, Counseling and Evaluation Services",NaN,NaN,7.22E+04,NaN,NaN,General Fund,NaN
67649,General Supplies,Undistributed,NaN,NaN,NaN,General,Finance,NaN,Data Processing Services,NaN,NaN,1.50E+04,NaN,NaN,General Fund,NaN
68940,Misc Operating Expenses,Undistributed,NaN,NaN,NaN,General,Purchasing,NaN,General Administration,NaN,NaN,8.00E+03,NaN,NaN,General Fund,NaN
69442,EQUIPMENT *,NaN,Support Services - Instructional Staff,NaN,NaN,Equipment *,NaN,NaN,Other Improvements Of Instruction Services *,NaN,NaN,-2.82E+04,NaN,NaN,Special Trust,ADULT ED SPECIAL AGENCY
70801,RETIREMENT CONTRIB.,EMPLOYEE BENEFITS,GENERAL FUND,General Assignment,NaN,NaN,ES TEAM,NaN,EMPLOYEE RETIREMENT,UNDESIGNATED,NaN,1.08E+02,NaN,n/a,NaN,EMPLOYEE BENEFITS
73075,SUPPLIES,Misc,MISCELLANEOUS,NaN,NaN,NaN,ADMIN. SERVICES,NaN,PUPIL SERVICES,NaN,NaN,-2.93E+01,NaN,NaN,General Fund,NaN
74067,Extra Duty/Signing Bonus Pay,Athletics and Related,NaN,"HC, TRACK",NaN,General,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,1.82E+03,NaN,NaN,Athletics,NaN
75614,Professional Salaries,Special Education,NaN,SPEECH PATH-BIL,NaN,Speech Therapist,Special Education,1,Instruction,NaN,NaN,7.59E+04,NaN,NaN,General Fund,NaN
75747,Professional Salaries,Basic Educational Services,NaN,T-EL SPANISH,NaN,Expend Activity Funded,School,0.75,Instruction,NaN,NaN,4.57E+04,NaN,NaN,Student Activity Account,NaN
76036,Extra Duty/Signing Bonus Pay,Athletics and Related,NaN,"AC,JR VAR WREST",NaN,General,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,2.87E+03,NaN,NaN,Athletics,NaN
76998,NaN,NaN,LOCAL,Assistant,NaN,NaN,LOGISTICS,1,NaN,NaN,NaN,4.75E+04,"LOGISTICS- MAIL,PRINTING & DUPLICATING",NaN,NaN,NaN
77099,NaN,Misc,NaN,School Data Clerk,NaN,NaN,NaN,1,NaN,DATA CLERK,NaN,4.36E+04,NaN,NaN,General Fund,NaN
77405,NaN,Basic Educational Services,NaN,NaN,NaN,Line Item that is paid with Campus' money,School,NaN,Instruction,NaN,NaN,2.00E+03,NaN,NaN,General Fund,NaN
78609,SALARIES OF PART TIME EMPLOYEE,INSTRUCTIONAL STAFF TRAINING,ARRA - STIMULUS,"Teacher, Short Term Sub",NaN,NaN,NaN,0.00431,TITLE I A - ARRA,PROFESSIONAL-INSTRUCTIONAL,NaN,1.10E+02,TEACHER LEARNING & LEADERSHIP,Regular,NaN,INSTRUCTIONAL STAFF
78823,Personal Services - Health Services,Principal's Office,NaN,THERAPIST ASST PHYSICAL,HEALTH SERVICES,NaN,District Wide Resources,1,NaN,ASST. THERAPIST,Special Education Support,4.79E+04,NaN,NaN,General Purpose School,NaN
79966,General Supplies,Undistributed,NaN,NaN,NaN,Line Item that is paid with Campus' money,School,NaN,Instructional Resource & Media Services,NaN,NaN,5.01E+02,NaN,NaN,General Fund,NaN
82568,Extra Duty/Signing Bonus Pay,Athletics and Related,NaN,HS ATHL COORD,NaN,General,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,7.25E+03,NaN,NaN,Athletics,NaN
83082,NaN,NaN,LOCAL,"Analyst, Special Ed Data",NaN,NaN,EARLY STAGES,0.46,NaN,NaN,NaN,2.73E+04,EARLY STAGES,NaN,NaN,NaN
84511,General Supplies,Gifted and Talented,NaN,NaN,NaN,Gifted and Talented,School,NaN,Instruction,NaN,NaN,6.10E-01,NaN,NaN,General Fund,NaN
85760,ADDITIONAL/EXTRA DUTY PAY/STIP,INSTRUCTIONAL STAFF TRAINING,ITEMGD PRESCHOOL PROGRAM,"Teacher, Elementary",NaN,NaN,EARLY CHILDHOOD EDUCATION,NaN,ELPA - PRESCHOOL PROG,PROFESSIONAL-INSTRUCTIONAL,NaN,7.27E+01,EARLY EDUCATION,n/a,NaN,INSTRUCTIONAL STAFF
85793,Salaries for Support Personnel,Undistributed,NaN,FOOD PROD SP IV,NaN,General,School,0.8125,Food Services,NaN,NaN,2.41E+04,NaN,NaN,Nat'l Schl Breakfast & Lunch Prog.,NaN
86989,SALARIES OF PART TIME EMPLOYEE,SUPPORT SERVICES-INSTRUCTIONAL,GENERAL FUND,Secretary II,NaN,NaN,GIFTED AND TALENTED,NaN,STATE - GIFTED AND TALENTED,OFFICE/ADMINISTRATIVE SUPPORT,NaN,1.45E+02,GIFTED AND TALENTED,n/a,NaN,INSTRUCTIONAL STAFF
87186,EMPLOYEE BENEFITS,PSYCHOLOGICAL SERVICES,ITEMGD PRESCHOOL PROGRAM,Psychologist,NaN,NaN,EARLY CHILDHOOD EDUCATION,NaN,ELPA - PRESCHOOL PROG,PROFESSIONAL-INSTRUCTIONAL,NaN,7.40E+01,EARLY EDUCATION,n/a,NaN,STUDENTS
87440,Rental: All Others,Undistributed,NaN,NaN,NaN,General,Office of Facilities,NaN,Plant Maintenance & Operations,NaN,NaN,9.45E+04,NaN,NaN,General Fund,NaN
87472,Extra Duty/Overtime,Undistributed,NaN,NaN,NaN,General,Network Support,NaN,Data Processing Services,NaN,NaN,2.18E+04,NaN,NaN,General Fund,NaN
87698,Professional Services,Undistributed,NaN,NaN,NaN,General,Office of Facilities,NaN,Plant Maintenance & Operations,NaN,NaN,1.00E+04,NaN,NaN,General Fund,NaN
88526,Extra Duty/Signing Bonus Pay,Undistributed,NaN,NaN,NaN,Community Training and Assistance Center,School,NaN,Curriculum & Instructional Staff Development,NaN,NaN,3.82E+03,NaN,NaN,General Fund,NaN
90462,OTHER SUPPLIES,SUPPORT SERVICES-INSTRUCTIONAL,FEDERAL GDPG FUND - FY,(blank),NaN,NaN,EARLY CHILDHOOD EDUCATION,NaN,HEAD START,UNDESIGNATED,NaN,2.80E+02,EARLY EDUCATION,n/a,NaN,INSTRUCTIONAL STAFF
91307,Professional Salaries,Undistributed,NaN,LIBRARIAN- ELEM,NaN,General,School,1,Instructional Resource & Media Services,NaN,NaN,6.64E+04,NaN,NaN,General Fund,NaN
91932,Personal Services - Teachers,Instruction - Regular,NaN,NaN,NaN,NaN,NaN,0,NaN,CCOACH CERT TCHRACCT,Regular Instruction,4.96E+03,NaN,NaN,General Purpose School,NaN
93762,NONCAPITALIZED  REMOD/RENOV,NaN,NaN,NaN,NaN,NaN,School,NaN,FACILITIES ACQ AND CONST,NaN,NaN,5.39E+01,NaN,NaN,MILLAGE,PAINTNG & WATRPROOFNG-Host Bgt
94989,Professional Salaries,Special Education,NaN,LSSP,NaN,General,Special Ed Evaluation Services,0.5,"Guidance, Counseling and Evaluation Services",NaN,NaN,3.30E+04,NaN,NaN,General Fund,NaN
95309,Misc Operating Expenses,Undistributed,NaN,NaN,NaN,General,System Wide Testing,NaN,"Guidance, Counseling and Evaluation Services",NaN,NaN,2.75E+03,NaN,NaN,General Fund,NaN
95377,General Supplies,Bilingual Education,NaN,NaN,NaN,Line Item that is paid with Campus' money,School,NaN,Instruction,NaN,NaN,1.00E+02,NaN,NaN,General Fund,NaN
96074,Salaries for Support Personnel,Undistributed,NaN,BUS DRIVER,NaN,General,Transportation Office,0.8125,Student Transportation,NaN,NaN,2.60E+04,NaN,NaN,General Fund,NaN
96159,Professional Salaries,State Comp.Ed.-Support Title I Campuses,NaN,BIL INST/CURR S,NaN,General,School,0.5,Curriculum & Instructional Staff Development,NaN,NaN,2.89E+04,NaN,NaN,Title I- Part A,NaN
99309,GENERAL SUPPLIES,GENERAL ELEMENTARY EDUCATION,ITEMGD PRESCHOOL PROGRAM,(blank),NaN,NaN,NaN,NaN,ELPA - FULL-DAY KINDER,UNDESIGNATED,NaN,NaN,NaN,Regular,NaN,REGULAR INSTRUCTION
101746,Extra Duty/Signing Bonus Pay,Bilingual Education,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,5.33E+03,NaN,NaN,General Fund,NaN
101935,Professional Salaries,Undistributed,NaN,ELEM PRINCIPAL,NaN,General,School,1,School Leadership,NaN,NaN,1.00E+05,NaN,NaN,General Fund,NaN
101975,ADDITIONAL/EXTRA DUTY PAY/STIP,GENERAL ELEMENTARY EDUCATION,FEDERAL GDPG FUND - FY,"Teacher, Librarian Elem",NaN,NaN,ED RESOURCE SERVICES,NaN,BLDG EARLY LIT IN LIBRARY BELL,PROFESSIONAL-INSTRUCTIONAL,NaN,1.93E+03,EDUCATIONAL RESOURCE SERVICES,n/a,NaN,REGULAR INSTRUCTION
102660,Salaries for Support Personnel,Undistributed,NaN,SR TELECOM ANST,NaN,General,Network Support,1,Data Processing Services,NaN,NaN,7.50E+04,NaN,NaN,General Fund,NaN
104588,Professional Salaries,NaN,NaN,Police Communication Specialist,NaN,NaN,District Police,1,NaN,NaN,NaN,4.46E+04,NaN,NaN,General Fund,NaN
106209,ADDITIONAL/EXTRA DUTY PAY/STIP,SUCCESS - ELEMENTARY,DISTRICT SPECIAL REVENUE FUNDS,Reading & Writing Asst,NaN,NaN,NaN,NaN,SUCCESS,PROFESSIONAL-INSTRUCTIONAL,NaN,2.42E+02,NaN,Regular,NaN,REGULAR INSTRUCTION
106790,Miscellaneous Contracted Srvcs,Special Education,NaN,NaN,NaN,Special Education,School,NaN,Instruction,NaN,NaN,3.50E+01,NaN,NaN,General Fund,NaN
107898,Professional Salaries,Undistributed,NaN,COORD-SUB SVCS,NaN,General,Human Resources,1,General Administration,NaN,NaN,7.67E+04,NaN,NaN,General Fund,NaN
109059,Salaries for Support Personnel,Accelerated Education,NaN,HIGH DOSE TUTOR,NaN,Math/Reading Middle School Initiative,School,1,Instruction,NaN,NaN,2.97E+04,NaN,NaN,General Fund,NaN
110076,Reproduction Services,Special Education,NaN,NaN,NaN,Cycle  (used for grants),Special Education,NaN,Community Services,NaN,NaN,1.20E+03,NaN,NaN,IDEA-B Formula,NaN
112689,Employee Allowance,Undistributed,NaN,TRAVEL,NaN,General,Management Info System,NaN,Data Processing Services,NaN,NaN,1.95E+03,NaN,NaN,General Fund,NaN
112854,Copier Rental,Undistributed,NaN,NaN,NaN,General,Office of Facilities,NaN,Plant Maintenance & Operations,NaN,NaN,7.70E+03,NaN,NaN,General Fund,NaN
113406,Salaries for Support Personnel,Undistributed,NaN,EXEC ASST II,NaN,General,Assoc Superintendent-Area,1,Instructional Leadership,NaN,NaN,5.45E+04,NaN,NaN,General Fund,NaN
113424,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Teacher, Super Sub Rtd D/D",NaN,NaN,NaN,NaN,NON-PROJECT,UNDESIGNATED,NaN,-5.34E+00,NaN,n/a,NaN,EMPLOYEE BENEFITS
