,Object_Description,Program_Description,SubFund_Description,Job_Title_Description,Facility_or_Department,Sub_Object_Description,Location_Description,FTE,Function_Description,Position_Extra,Text_4,Total,Text_2,Text_3,Fund_Description,Text_1
39614,Extra Duty/Signing Bonus Pay,Accelerated Education,NaN,NaN,NaN,Test Prep,School,NaN,Instruction,NaN,NaN,13109.06,NaN,NaN,General Fund,NaN
40687,EMPLOYEE BENEFITS,OFFICE OF THE SUPERINTENDENT,GENERAL FUND,Sr Academic Policy Advisor,NaN,NaN,SUPERINTENDENT OF SCHOOLS,NaN,NON-PROJECT,ADMINISTRATOR,NaN,1800.84,OFFICE OF THE SUPERINTENDENT,n/a,NaN,GENERAL ADMINISTRATION
40883,Salaries for Support Personnel,Undistributed,NaN,FOOD PROD SP IV,NaN,General,School,0.8125,Food Services,NaN,NaN,25249.03,NaN,NaN,Natl Schl Breakfast & Lunch Prog.,NaN
41261,Purchased Services,NaN,Support Services - Instructional Staff,NaN,NaN,Purchased Services,NaN,NaN,Instruction And Curriculum Development Services *,NaN,NaN,11349.73,NaN,NaN,Special Trust,TECH-GEMS TRAININ
45396,Salaries for Support Personnel,Special Education,NaN,BUS DRIVER,NaN,General,Transportation Office,1,Student Transportation,NaN,NaN,36194.2,NaN,NaN,General Fund,NaN
46416,General Supplies,State Comp.Ed.-Support Title I Campuses,NaN,NaN,NaN,General,School,NaN,Curriculum & Instructional Staff Development,NaN,NaN,5999.95,NaN,NaN,Title I- Part A,NaN
47096,SALARIES OF PART TIME EMPLOYEE,INSTRUCTIONAL STAFF TRAINING,ARRA - STIMULUS,"Teacher, Short Term Sub",NaN,NaN,SPECIAL EDUCATION,0.00431,IDEA ARRA,PROFESSIONAL-INSTRUCTIONAL,NaN,110.6579,NaN,n/a,NaN,INSTRUCTIONAL STAFF
48212,Professional Salaries,Accelerated Education,NaN,T-EL/SE ELY CHI,NaN,Stud Support,School,1,Instruction,NaN,NaN,52626.96,NaN,NaN,General Fund,NaN
48263,Employee Allowances,Services To Students With Disabilities (Special Education),Idea Part B Formula,PROGRAM DIRECTOR,Instruction And Curriculum,Travel Allowances,Unallocated,NaN,Instructional Leadership,PROGRAM DIRECTOR,Regular Salary,1814.806,NaN,NaN,Idea Part B Formula,TRAVEL
48802,Professional Salaries,Accelerated Education,NaN,T-HS AVID,NaN,AVID supplement,School,0.2,Instruction,NaN,NaN,10593.24,NaN,NaN,General Fund,NaN
49143,Personal Services - Substitute Teachers Certified,Instruction - SPED,NaN,NaN,NaN,NaN,NaN,0,NaN,SUBSTITUTE TEACHER,Special Education Instruction,71.3599,NaN,NaN,General Purpose School,NaN
50120,Professional Salaries,Special Education,NaN,SPEECH PATH,NaN,Speech Therapist,School,0.69,Instruction,NaN,NaN,39324.38,NaN,NaN,General Fund,NaN
50465,Personal Services - Other Personnel,District Administration,NaN,DIR HUMAN CAPITAL STRATEGY,HUMAN RESOURCES,NaN,Central Office,1,NaN,EXECUTIVE NC DIRECTR,Race to the Top,107046.2,NaN,NaN,School Federal Projects,RACE TO THE TOP
51175,CONFERENCE REGISTRATION,THINKING MAPS,NaN,NaN,NaN,NaN,School,NaN,INST STAFF TRAINING SVCS,NaN,NaN,5099.22,NaN,NaN,FED THRU STATE-CASH ADVANCE,TITLE I
52565,Professional Salaries,Undistributed,NaN,ADMIN INTERN,NaN,General,Chief Operations Officer,1,Plant Maintenance & Operations,NaN,NaN,65312.52,NaN,NaN,General Fund,NaN
52862,Salaries for Support Personnel,Undistributed,NaN,RISK MANAGER,NaN,General,Insurance and Risk Management,1,General Administration,NaN,NaN,93836.83,NaN,NaN,Workers Comp Self Insurance,NaN
53356,Employee Allowance,Undistributed,NaN,CELL PHONE,NaN,Mobile Phone,Network Support,NaN,Data Processing Services,NaN,NaN,525.7409,NaN,NaN,General Fund,NaN
53664,Salaries for Support Personnel,Special Education,NaN,TCHR ASST- SP E,NaN,General,School,1,Instruction,NaN,NaN,30482.19,NaN,NaN,General Fund,NaN
54007,Electricity,Undistributed,NaN,NaN,NaN,General,School,NaN,Plant Maintenance & Operations,NaN,NaN,80094.7,NaN,NaN,General Fund,NaN
55597,Miscellaneous Contracted Srvcs,Undistributed,NaN,NaN,NaN,Police Dept Courier Srvc,Early Childhood Center,NaN,Food Services,NaN,NaN,246.25,NaN,NaN,Natl Schl Breakfast & Lunch Prog.,NaN
56374,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Teacher, Elementary",NaN,NaN,NaN,NaN,NON-PROJECT,UNDESIGNATED,NaN,-932.02,NaN,n/a,NaN,EMPLOYEE BENEFITS
57394,ADDITIONAL/EXTRA DUTY PAY/STIP,INSTRUCTIONAL STAFF TRAINING,GENERAL FUND,Speech Language Pathologst,NaN,NaN,TEACHER LEARNING & LEADERSHIP,NaN,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,NaN,463.2955,TEACHER LEARNING & LEADERSHIP,n/a,NaN,INSTRUCTIONAL STAFF
57469,EMPLOYEE BENEFITS,NURSING SERVICES,GENERAL FUND,Nurse,NaN,NaN,SCHOOL NURSE SERVICES,NaN,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,NaN,261.69,SCHOOL NURSE SERVICES,n/a,NaN,STUDENTS
57625,Employee Allowance,Undistributed,NaN,TRAVEL,NaN,General,Student Services,NaN,General Administration,NaN,NaN,340.9746,NaN,NaN,General Fund,NaN
57830,General Supplies,Undistributed,NaN,NaN,NaN,General,Office of Innovation and Development,NaN,General Administration,NaN,NaN,16382.73,NaN,NaN,General Fund,NaN
59076,Salaries for Support Personnel,Undistributed,NaN,CLERK IV- SCH,NaN,General,School,1,School Leadership,NaN,NaN,33108.9,NaN,NaN,General Fund,NaN
59396,TRAVEL AND REGISTRATION,SUPPORT SERVICES-INSTRUCTIONAL,GENERAL FUND,(blank),NaN,NaN,NaN,NaN,NON-PROJECT,UNDESIGNATED,NaN,721.93,INSTRUCTIONAL SUPPORT TEAMS,n/a,NaN,INSTRUCTIONAL STAFF
59612,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Coordinator, Central Curr",NaN,NaN,HUMANITIES,NaN,NON-PROJECT,UNDESIGNATED,NaN,-1286.08,NaN,n/a,NaN,EMPLOYEE BENEFITS
60870,"Water,Wastewater, Sanitation",Undistributed,NaN,NaN,NaN,General,School,NaN,Plant Maintenance & Operations,NaN,NaN,47663.33,NaN,NaN,General Fund,NaN
60990,Extra Duty/Overtime,Undistributed,NaN,NaN,NaN,Line Item that is paid with Campus money,School,NaN,School Leadership,NaN,NaN,3291.137,NaN,NaN,General Fund,NaN
62039,Non Food,Undistributed,NaN,NaN,NaN,General,School,NaN,Food Services,NaN,NaN,17469.1,NaN,NaN,Natl Schl Breakfast & Lunch Prog.,NaN
62190,Professional Salaries,Undistributed,NaN,EVAL SPEC. III,NaN,General,Office of Program Evaluation,0.5,"Guidance, Counseling and Evaluation Services",NaN,NaN,31694.56,NaN,NaN,General Fund,NaN
63804,OTHER PURCHASED SERVICES,LEGAL SERVICES,GENERAL FUND,(blank),NaN,NaN,SCHOOL ATTORNEY,NaN,NON-PROJECT,UNDESIGNATED,NaN,17586.83,LEGAL SERVICES,n/a,NaN,GENERAL ADMINISTRATION
64627,NaN,NaN,LOCAL,"CLERK,DATA ENTRY,TYPING",NaN,NaN,NaN,1,NaN,NaN,NaN,41744.19,SCHOOL ADMINISTRATIVE SUPPORT,NaN,NaN,NaN
65252,Professional Salaries,State Comp.Ed.-Support Title I Campuses,NaN,INSTR/CURR SPEC,NaN,General,School,0.5,Instruction,NaN,NaN,30630.64,NaN,NaN,Title I- Part A,NaN
65470,TEACHER COVERAGE FOR TEACHER,GENERAL ELEMENTARY EDUCATION,GENERAL FUND,Library Tech I,NaN,NaN,NaN,NaN,NON-PROJECT,PROFESSIONAL-INSTRUCTIONAL,NaN,471.9904,TEACHER SUBS,Regular,NaN,REGULAR INSTRUCTION
66394,Employee Allowance,Accelerated Education,NaN,TRAVEL,NaN,General,Community Education-South,NaN,Community Services,NaN,NaN,2634.623,NaN,NaN,General Fund,NaN
66536,Other Professional and Technical Services,NaN,Regular Instruction,NaN,NaN,Professional And Technical Services *,NaN,NaN,Middle/Junior High,NaN,NaN,-11499.42,NaN,NaN,Special Trust,CTR COMM SOL-BRICK MALE
67161,Professional Salaries,Accelerated Education,NaN,COUNS- ELEM,NaN,General,School,1,"Guidance, Counseling and Evaluation Services",NaN,NaN,72168.64,NaN,NaN,General Fund,NaN
67649,General Supplies,Undistributed,NaN,NaN,NaN,General,Finance,NaN,Data Processing Services,NaN,NaN,15000.15,NaN,NaN,General Fund,NaN
68940,Misc Operating Expenses,Undistributed,NaN,NaN,NaN,General,Purchasing,NaN,General Administration,NaN,NaN,8000.25,NaN,NaN,General Fund,NaN
69442,EQUIPMENT *,NaN,Support Services - Instructional Staff,NaN,NaN,Equipment *,NaN,NaN,Other Improvements Of Instruction Services *,NaN,NaN,-28165.72,NaN,NaN,Special Trust,ADULT ED SPECIAL AGENCY
70801,RETIREMENT CONTRIB.,EMPLOYEE BENEFITS,GENERAL FUND,General Assignment,NaN,NaN,ES TEAM,NaN,EMPLOYEE RETIREMENT,UNDESIGNATED,NaN,107.72,NaN,n/a,NaN,EMPLOYEE BENEFITS
73075,SUPPLIES,Misc,MISCELLANEOUS,NaN,NaN,NaN,ADMIN. SERVICES,NaN,PUPIL SERVICES,NaN,NaN,-29.27,NaN,NaN,General Fund,NaN
74067,Extra Duty/Signing Bonus Pay,Athletics and Related,NaN,"HC, TRACK",NaN,General,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,1815.999,NaN,NaN,Athletics,NaN
75614,Professional Salaries,Special Education,NaN,SPEECH PATH-BIL,NaN,Speech Therapist,Special Education,1,Instruction,NaN,NaN,75871.58,NaN,NaN,General Fund,NaN
75747,Professional Salaries,Basic Educational Services,NaN,T-EL SPANISH,NaN,Expend Activity Funded,School,0.75,Instruction,NaN,NaN,45749.21,NaN,NaN,Student Activity Account,NaN
76036,Extra Duty/Signing Bonus Pay,Athletics and Related,NaN,"AC,JR VAR WREST",NaN,General,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,2871.528,NaN,NaN,Athletics,NaN
76998,NaN,NaN,LOCAL,Assistant,NaN,NaN,LOGISTICS,1,NaN,NaN,NaN,47464.7,"LOGISTICS- MAIL,PRINTING & DUPLICATING",NaN,NaN,NaN
77099,NaN,Misc,NaN,School Data Clerk,NaN,NaN,NaN,1,NaN,DATA CLERK,NaN,43614.7,NaN,NaN,General Fund,NaN
77405,NaN,Basic Educational Services,NaN,NaN,NaN,Line Item that is paid with Campus money,School,NaN,Instruction,NaN,NaN,1999.88,NaN,NaN,General Fund,NaN
78609,SALARIES OF PART TIME EMPLOYEE,INSTRUCTIONAL STAFF TRAINING,ARRA - STIMULUS,"Teacher, Short Term Sub",NaN,NaN,NaN,0.00431,TITLE I A - ARRA,PROFESSIONAL-INSTRUCTIONAL,NaN,109.8579,TEACHER LEARNING & LEADERSHIP,Regular,NaN,INSTRUCTIONAL STAFF
78823,Personal Services - Health Services,Principals Office,NaN,THERAPIST ASST PHYSICAL,HEALTH SERVICES,NaN,District Wide Resources,1,NaN,ASST. THERAPIST,Special Education Support,47915.65,NaN,NaN,General Purpose School,NaN
79966,General Supplies,Undistributed,NaN,NaN,NaN,Line Item that is paid with Campus money,School,NaN,Instructional Resource & Media Services,NaN,NaN,500.77,NaN,NaN,General Fund,NaN
82568,Extra Duty/Signing Bonus Pay,Athletics and Related,NaN,HS ATHL COORD,NaN,General,School,NaN,Cocurricular & Extra Curricular Activities,NaN,NaN,7253.669,NaN,NaN,Athletics,NaN
83082,NaN,NaN,LOCAL,"Analyst, Special Ed Data",NaN,NaN,EARLY STAGES,0.46,NaN,NaN,NaN,27329.73,EARLY STAGES,NaN,NaN,NaN
84511,General Supplies,Gifted and Talented,NaN,NaN,NaN,Gifted and Talented,School,NaN,Instruction,NaN,NaN,0.61,NaN,NaN,General Fund,NaN
85760,ADDITIONAL/EXTRA DUTY PAY/STIP,INSTRUCTIONAL STAFF TRAINING,ITEMGD PRESCHOOL PROGRAM,"Teacher, Elementary",NaN,NaN,EARLY CHILDHOOD EDUCATION,NaN,ELPA - PRESCHOOL PROG,PROFESSIONAL-INSTRUCTIONAL,NaN,72.72768,EARLY EDUCATION,n/a,NaN,INSTRUCTIONAL STAFF
85793,Salaries for Support Personnel,Undistributed,NaN,FOOD PROD SP IV,NaN,General,School,0.8125,Food Services,NaN,NaN,24098.94,NaN,NaN,Natl Schl Breakfast & Lunch Prog.,NaN
86989,SALARIES OF PART TIME EMPLOYEE,SUPPORT SERVICES-INSTRUCTIONAL,GENERAL FUND,Secretary II,NaN,NaN,GIFTED AND TALENTED,NaN,STATE - GIFTED AND TALENTED,OFFICE/ADMINISTRATIVE SUPPORT,NaN,144.9459,GIFTED AND TALENTED,n/a,NaN,INSTRUCTIONAL STAFF
87186,EMPLOYEE BENEFITS,PSYCHOLOGICAL SERVICES,ITEMGD PRESCHOOL PROGRAM,Psychologist,NaN,NaN,EARLY CHILDHOOD EDUCATION,NaN,ELPA - PRESCHOOL PROG,PROFESSIONAL-INSTRUCTIONAL,NaN,74.01,EARLY EDUCATION,n/a,NaN,STUDENTS
87440,Rental: All Others,Undistributed,NaN,NaN,NaN,General,Office of Facilities,NaN,Plant Maintenance & Operations,NaN,NaN,94481.8,NaN,NaN,General Fund,NaN
87472,Extra Duty/Overtime,Undistributed,NaN,NaN,NaN,General,Network Support,NaN,Data Processing Services,NaN,NaN,21848.95,NaN,NaN,General Fund,NaN
87698,Professional Services,Undistributed,NaN,NaN,NaN,General,Office of Facilities,NaN,Plant Maintenance & Operations,NaN,NaN,9999.96,NaN,NaN,General Fund,NaN
88526,Extra Duty/Signing Bonus Pay,Undistributed,NaN,NaN,NaN,Community Training and Assistance Center,School,NaN,Curriculum & Instructional Staff Development,NaN,NaN,3823.265,NaN,NaN,General Fund,NaN
90462,OTHER SUPPLIES,SUPPORT SERVICES-INSTRUCTIONAL,FEDERAL GDPG FUND - FY,(blank),NaN,NaN,EARLY CHILDHOOD EDUCATION,NaN,HEAD START,UNDESIGNATED,NaN,279.67,EARLY EDUCATION,n/a,NaN,INSTRUCTIONAL STAFF
91307,Professional Salaries,Undistributed,NaN,LIBRARIAN- ELEM,NaN,General,School,1,Instructional Resource & Media Services,NaN,NaN,66354.44,NaN,NaN,General Fund,NaN
91932,Personal Services - Teachers,Instruction - Regular,NaN,NaN,NaN,NaN,NaN,0,NaN,CCOACH CERT TCHRACCT,Regular Instruction,4961.33,NaN,NaN,General Purpose School,NaN
93762,NONCAPITALIZED REMOD/RENOV,NaN,NaN,NaN,NaN,NaN,School,NaN,FACILITIES ACQ AND CONST,NaN,NaN,53.88,NaN,NaN,MILLAGE,PAINTNG & WATRPROOFNG-Host Bgt
94989,Professional Salaries,Special Education,NaN,LSSP,NaN,General,Special Ed Evaluation Services,0.5,"Guidance, Counseling and Evaluation Services",NaN,NaN,32995.71,NaN,NaN,General Fund,NaN
95309,Misc Operating Expenses,Undistributed,NaN,NaN,NaN,General,System Wide Testing,NaN,"Guidance, Counseling and Evaluation Services",NaN,NaN,2749.85,NaN,NaN,General Fund,NaN
95377,General Supplies,Bilingual Education,NaN,NaN,NaN,Line Item that is paid with Campus money,School,NaN,Instruction,NaN,NaN,100.33,NaN,NaN,General Fund,NaN
96074,Salaries for Support Personnel,Undistributed,NaN,BUS DRIVER,NaN,General,Transportation Office,0.8125,Student Transportation,NaN,NaN,25989.53,NaN,NaN,General Fund,NaN
96159,Professional Salaries,State Comp.Ed.-Support Title I Campuses,NaN,BIL INST/CURR S,NaN,General,School,0.5,Curriculum & Instructional Staff Development,NaN,NaN,28855.6,NaN,NaN,Title I- Part A,NaN
99309,GENERAL SUPPLIES,GENERAL ELEMENTARY EDUCATION,ITEMGD PRESCHOOL PROGRAM,(blank),NaN,NaN,NaN,NaN,ELPA - FULL-DAY KINDER,UNDESIGNATED,NaN,NaN,NaN,Regular,NaN,REGULAR INSTRUCTION
101746,Extra Duty/Signing Bonus Pay,Bilingual Education,NaN,NaN,NaN,General,School,NaN,Instruction,NaN,NaN,5329.22,NaN,NaN,General Fund,NaN
101935,Professional Salaries,Undistributed,NaN,ELEM PRINCIPAL,NaN,General,School,1,School Leadership,NaN,NaN,100235.3,NaN,NaN,General Fund,NaN
101975,ADDITIONAL/EXTRA DUTY PAY/STIP,GENERAL ELEMENTARY EDUCATION,FEDERAL GDPG FUND - FY,"Teacher, Librarian Elem",NaN,NaN,ED RESOURCE SERVICES,NaN,BLDG EARLY LIT IN LIBRARY BELL,PROFESSIONAL-INSTRUCTIONAL,NaN,1934.328,EDUCATIONAL RESOURCE SERVICES,n/a,NaN,REGULAR INSTRUCTION
102660,Salaries for Support Personnel,Undistributed,NaN,SR TELECOM ANST,NaN,General,Network Support,1,Data Processing Services,NaN,NaN,75049.79,NaN,NaN,General Fund,NaN
104588,Professional Salaries,NaN,NaN,Police Communication Specialist,NaN,NaN,District Police,1,NaN,NaN,NaN,44555.83,NaN,NaN,General Fund,NaN
106209,ADDITIONAL/EXTRA DUTY PAY/STIP,SUCCESS - ELEMENTARY,DISTRICT SPECIAL REVENUE FUNDS,Reading & Writing Asst,NaN,NaN,NaN,NaN,SUCCESS,PROFESSIONAL-INSTRUCTIONAL,NaN,241.7956,NaN,Regular,NaN,REGULAR INSTRUCTION
106790,Miscellaneous Contracted Srvcs,Special Education,NaN,NaN,NaN,Special Education,School,NaN,Instruction,NaN,NaN,34.97,NaN,NaN,General Fund,NaN
107898,Professional Salaries,Undistributed,NaN,COORD-SUB SVCS,NaN,General,Human Resources,1,General Administration,NaN,NaN,76669.55,NaN,NaN,General Fund,NaN
109059,Salaries for Support Personnel,Accelerated Education,NaN,HIGH DOSE TUTOR,NaN,Math/Reading Middle School Initiative,School,1,Instruction,NaN,NaN,29709.03,NaN,NaN,General Fund,NaN
110076,Reproduction Services,Special Education,NaN,NaN,NaN,Cycle (used for grants),Special Education,NaN,Community Services,NaN,NaN,1199.94,NaN,NaN,IDEA-B Formula,NaN
112689,Employee Allowance,Undistributed,NaN,TRAVEL,NaN,General,Management Info System,NaN,Data Processing Services,NaN,NaN,1952.594,NaN,NaN,General Fund,NaN
112854,Copier Rental,Undistributed,NaN,NaN,NaN,General,Office of Facilities,NaN,Plant Maintenance & Operations,NaN,NaN,7700.24,NaN,NaN,General Fund,NaN
113406,Salaries for Support Personnel,Undistributed,NaN,EXEC ASST II,NaN,General,Assoc Superintendent-Area,1,Instructional Leadership,NaN,NaN,54467.62,NaN,NaN,General Fund,NaN
113424,CONTRA BENEFITS,EMPLOYEE BENEFITS,GENERAL FUND,"Teacher, Super Sub Rtd D/D",NaN,NaN,NaN,NaN,NON-PROJECT,UNDESIGNATED,NaN,-5.34,NaN,n/a,NaN,EMPLOYEE BENEFITS
114040,ALL OTHER SUPPLEMENTS,NaN,NaN,TEACHER ASSISTANT-TITLE I-ELEM,NaN,NaN,School,NaN,BASIC (FEFP K-12),NaN,NaN,677.25,NaN,NaN,GENERAL FUND,TEACHER ASST EDUC SUPPLEMENT
114140,SALARIES OF REGULAR EMPLOYEES,GIFTED AND TALENTED,GENERAL FUND,"Teacher, Itinerant",NaN,NaN,GIFTED AND TALENTED,0.502733,STATE - GIFTED AND TALENTED,PROFESSIONAL-INSTRUCTIONAL,NaN,35127.66,GIFTED AND TALENTED,n/a,NaN,REGULAR INSTRUCTION
114463,Education Service Center Services,Gifted And Talented,NaN,NaN,Gifted And Talented,ESC (Fee),Unallocated,NaN,Instructional Leadership,NaN,NaN,264.81,NaN,NaN,General Operating Fund,NaN
