type,x,y
Traditional French restaurant,259840.95353424083,6252606.072075991
Indian / Middle Eastern restaurant,259870.78715777525,6252699.6585933585
Asian restaurant,259883.70021870735,6252739.090473675
Asian restaurant,259883.70021870735,6252739.090473675
Asian restaurant,259978.43310537311,6253003.102643051
Indian / Middle Eastern restaurant,259938.80336664978,6252992.609694632
Asian restaurant,259918.0979413625,6252901.727766022
Traditional French restaurant,261254.265789352,6244807.163602437
Asian restaurant,261700.99090590715,6245026.460007636
Traditional French restaurant,262197.58715433656,6245058.247467143
Traditional French restaurant,262521.41555305436,6244715.185920581
Asian restaurant,261346.54964722198,6245383.399446294
Central and South American restuarant,265527.26444345445,6251476.00768077
Traditional French restaurant,265494.20255468844,6250870.085869623
European restuarant,265501.21568260784,6250683.292690549
Asian restaurant,265859.9984014341,6250354.215091886
Traditional French restaurant,265881.2604241747,6250469.94066643
Asian restaurant,265024.87958150357,6250638.456172819
Traditional French restaurant,262004.89311577345,6248720.690582535
European restuarant,262938.1957265838,6247874.785385654
Traditional French restaurant,256412.2018983189,6249260.652643961
European restuarant,258324.44811116412,6255108.047935043
Traditional French restaurant,258347.26860677917,6255135.13330453
Indian / Middle Eastern restaurant,258703.26833833594,6255038.81135316
Traditional French restaurant,258153.68401228898,6255539.223450594
Asian restaurant,258149.4538716391,6256083.514439567
Traditional French restaurant,258276.1354521614,6255837.690349972
Traditional French restaurant,258228.37939061204,6255755.242684331
European restuarant,262054.0963307032,6251482.437689501
Traditional French restaurant,261975.50477020396,6251651.311771816
Maghrebian restaurant,261849.0458286613,6251657.23427069
European restuarant,261713.12473040345,6251461.117152986
Asian restaurant,261847.0420778276,6251617.976641114
Indian / Middle Eastern restaurant,261847.4873557897,6251547.24568162
Asian restaurant,261804.62935183477,6251451.302955807
Asian restaurant,258745.56974483753,6246634.919829456
Traditional French restaurant,258735.43967117494,6246326.123267107
European restuarant,257553.7832764028,6245332.165623049
Traditional French restaurant,256689.61006937645,6245680.155902195
Traditional French restaurant,257564.80390599242,6245964.240195026
Maghrebian restaurant,257553.89459589403,6246101.72012101
Traditional French restaurant,257919.6904426397,6245906.069778641
Caribbean restaurant,257621.242887824,6246169.023530329
Asian restaurant,257734.45480996088,6246460.395964435
Central and South American restuarant,265130.41045877646,6250112.448489484
European restuarant,264952.1879540142,6250575.516254055
Traditional French restaurant,264935.60134988837,6250045.113743524
Traditional French restaurant,264490.5460256961,6250012.969204319
Maghrebian restaurant,264574.48092175473,6250044.775379316
Traditional French restaurant,264378.8925764308,6250301.090138383
Central and South American restuarant,264059.85091581626,6250133.934815051
Traditional French restaurant,264134.76893311896,6250076.412491019
Indian / Middle Eastern restaurant,264200.22479370644,6250029.379822248
Traditional French restaurant,264303.9745591253,6249951.218194968
Asian restaurant,264117.84837051947,6250238.660284501
Traditional French restaurant,264317.44421751075,6249919.750730488
Asian restaurant,261738.17161583184,6247503.195668058
Traditional French restaurant,261732.82828027246,6247301.2552470425
Asian restaurant,261077.2677989933,6250021.089918498
Indian / Middle Eastern restaurant,261093.2978056658,6249920.258269307
European restuarant,261173.55915852785,6249925.164479491
European restuarant,261160.42345861328,6249929.732332906
Traditional French restaurant,261079.71682778912,6249857.492865648
Maghrebian restaurant,260993.22158344346,6249680.534150895
Traditional French restaurant,260990.6612351536,6249673.767160623
Traditional French restaurant,260998.11964103792,6249829.240126854
Traditional French restaurant,260993.3329029347,6249822.3038401175
Traditional French restaurant,261061.23779231802,6249852.417516408
Traditional French restaurant,260998.7875579825,6249861.214790362
Traditional French restaurant,260993.3329029347,6249915.690421007
European restuarant,260856.74388772945,6250052.557759471
Traditional French restaurant,260530.91173817797,6250089.101205388
European restuarant,260395.88119584715,6250195.010416107
European restuarant,260521.2269424803,6250421.721484874
Asian restaurant,260509.4270764549,6250401.418753712
Asian restaurant,260500.18755871934,6250419.860399159
Indian / Middle Eastern restaurant,260489.27824862095,6250401.587942938
Traditional French restaurant,257931.60162815635,6255931.143295061
European restuarant,256972.6955344614,6255033.05577038
Traditional French restaurant,256529.0873636523,6254911.17375963
Traditional French restaurant,255869.18542222923,6255302.725955115
Asian restaurant,262029.8286817106,6251030.656849897
Asian restaurant,261543.473826435,6251203.244438209
Maghrebian restaurant,261570.74710167956,6251121.349497028
Indian / Middle Eastern restaurant,261647.8915087984,6251040.808963614
Asian restaurant,261649.67262065248,6251044.023802161
European restuarant,261673.7176306626,6251110.012863025
European restuarant,261680.17416112864,6251082.432757098
Asian restaurant,257919.6904426397,6246612.765922577
Traditional French restaurant,258043.4777164041,6246535.481372722
Other world restaurant,258414.1716207442,6246851.219414423
European restuarant,258454.02399845,6246874.2195387315
European restuarant,258452.57684506962,6246845.4693931015
Indian / Middle Eastern restaurant,258146.3369258959,6247057.377168758
Asian restaurant,258118.507053198,6247033.192693385
European restuarant,257814.49352384047,6246549.517682777
Asian restaurant,257415.07919087543,6245445.962620848
Asian restaurant,256770.20538070938,6245756.925361209
Asian restaurant,264254.99398317805,6250352.692397495
Asian restaurant,264305.199073526,6250379.254994431
Asian restaurant,264041.9284777985,6250220.3882191945
Indian / Middle Eastern restaurant,264041.9284777985,6250220.3882191945
Asian restaurant,264543.75674229325,6249805.893623393
European restuarant,264788.88226102054,6249992.836634001
Asian restaurant,265096.4580140834,6249558.390808388
Other world restaurant,263748.15634159476,6251325.919127144
European restuarant,263240.9847415406,6252429.225151879
Traditional French restaurant,263240.9847415406,6252429.225151879
European restuarant,260290.5729575567,6250165.403075276
Traditional French restaurant,260263.0770433297,6250212.4364993805
European restuarant,260244.7093273498,6249979.97888304
Traditional French restaurant,260265.1921136546,6250052.219394967
Central and South American restuarant,260252.27905272253,6249955.786062433
Traditional French restaurant,260401.44717038615,6249950.879834516
Traditional French restaurant,260865.20416903205,6249928.209714826
European restuarant,260831.91964128354,6249737.715434532
European restuarant,260725.38688859518,6249417.133044917
Asian restaurant,260554.95674819092,6249224.789434917
Traditional French restaurant,260454.5465674949,6249420.178097612
Traditional French restaurant,255798.16358710272,6255485.050212587
European restuarant,256778.88830099162,6255860.376296168
European restuarant,255712.11362071917,6255277.163629342
European restuarant,255365.9100043513,6255369.086790247
Asian restaurant,255543.68723114862,6255390.078591292
Asian restaurant,256639.85025699055,6256040.003732986
Traditional French restaurant,256472.2031038558,6255482.849432125
Traditional French restaurant,256805.38233980036,6255351.650091858
Asian restaurant,257171.8461034906,6255433.416667781
European restuarant,263409.29981162,6250759.092324501
Traditional French restaurant,262873.5191024321,6251205.274901357
European restuarant,258105.70531175716,6247170.351716423
Traditional French restaurant,258014.08937083458,6247233.773717044
Asian restaurant,256530.86847550355,6246695.293747577
Traditional French restaurant,262864.7248626587,6256258.913952642
Asian restaurant,262823.2026925929,6256397.576950714
Asian restaurant,262790.80872077425,6256383.52430902
African restaurant,262927.063777503,6256353.3873970555
Asian restaurant,262993.7441524884,6256442.443974924
Asian restaurant,262867.0625719661,6256440.242945548
African restaurant,263086.91856628255,6256656.454487321
Asian restaurant,263695.94750041305,6250636.595039475
European restuarant,263752.16384326504,6250335.266025653
European restuarant,263952.2049682184,6250157.95896015
Traditional French restaurant,264095.6957918518,6250616.122599717
European restuarant,264127.53316621995,6250641.840052669
European restuarant,258926.24127839276,6253363.932587355
Asian restaurant,258883.1606354554,6253633.718867536
Traditional French restaurant,258955.96358243597,6253762.521999043
Traditional French restaurant,260469.57469875194,6249287.380983409
Asian restaurant,260441.5221870716,6249292.625161172
Traditional French restaurant,260434.84301762306,6249582.9208397055
Asian restaurant,261557.05480431166,6249464.331484667
Traditional French restaurant,261619.9503166093,6249631.981115462
Traditional French restaurant,261510.07797919525,6248639.327103005
European restuarant,261516.31187068167,6248591.118341422
Traditional French restaurant,261689.7476373379,6249633.5036802925
Traditional French restaurant,262178.885479883,6249239.337699527
Asian restaurant,262001.21957257693,6249216.669484142
Traditional French restaurant,261546.81341115784,6249395.310199325
Traditional French restaurant,261512.86096646477,6248741.1584415715
European restuarant,261512.86096646477,6248741.1584415715
Traditional French restaurant,257594.637529524,6254863.606395345
Asian restaurant,255724.47008419794,6255712.580141799
European restuarant,258109.93545240702,6254845.832181906
European restuarant,258093.0148898047,6255039.149916977
Maghrebian restaurant,258611.20711944843,6255237.042783598
Asian restaurant,258505.56492268713,6255433.755247373
Traditional French restaurant,258561.33598757413,6255640.968500155
Asian restaurant,258504.11776930676,6255239.582071994
Traditional French restaurant,263247.1073135358,6249243.397684806
Traditional French restaurant,260902.16223997425,6251730.842816653
Asian restaurant,260869.879587644,6251744.887738332
Traditional French restaurant,260903.16411539252,6251830.680717462
European restuarant,260991.99706904558,6251907.50593737
Traditional French restaurant,263884.6340373088,6257338.818435809
European restuarant,264548.32084141683,6256397.576950714
Asian restaurant,264613.7767020043,6256764.308354548
Traditional French restaurant,261130.36719609922,6256255.6971334955
Traditional French restaurant,258638.70303367547,6253213.979814579
European restuarant,258695.14201550707,6252935.575670136
Traditional French restaurant,258621.11455412855,6252790.030642384
Traditional French restaurant,265207.33222691284,6250056.618134565
Asian restaurant,265198.2040286685,6250079.796146325
Traditional French restaurant,265296.94441700174,6249655.327139573
Central and South American restuarant,265317.2045643269,6249535.552567225
Asian restaurant,265469.93490569585,6249863.583288758
Traditional French restaurant,265277.2408671327,6250021.597463389
European restuarant,265522.9229833134,6249915.182882457
Other world restaurant,261744.29418782418,6248808.1445078375
European restuarant,261822.9970678175,6248632.391790582
Asian restaurant,261955.57858135249,6248482.691918692
Traditional French restaurant,262092.27891604614,6248384.923260942
Traditional French restaurant,262124.56156837638,6248405.221159354
European restuarant,261729.60001504084,6247858.040664447
Asian restaurant,261700.54562794504,6247987.939975257
Traditional French restaurant,261576.8696736719,6248078.938335114
European restuarant,261574.75460334696,6248064.222920708
Asian restaurant,261526.44194434426,6248409.95734265
Traditional French restaurant,261543.02854847006,6248309.652312243
Traditional French restaurant,261502.730892805,6248278.360092184
Traditional French restaurant,261461.43136171886,6248265.674089962
Traditional French restaurant,261416.23564845652,6248250.450912363
Indian / Middle Eastern restaurant,261359.6853471337,6248505.696472738
European restuarant,260797.07664066626,6248709.1880057715
Asian restaurant,260757.33558245172,6248410.633940478
European restuarant,261026.95138915407,6247903.031606525
Asian restaurant,258937.92982492695,6255251.7706669085
Traditional French restaurant,257338.936659172,6255474.046315981
Traditional French restaurant,257411.73960614976,6255283.42723845
Traditional French restaurant,257670.00082479164,6255262.774274612
Asian restaurant,257691.26284753226,6255277.840776048
Traditional French restaurant,260354.581664761,6252195.860557012
Traditional French restaurant,260097.65628001108,6251657.911127967
Traditional French restaurant,260097.65628001108,6251657.911127967
Traditional French restaurant,260274.43163139015,6252224.7980944
Asian restaurant,260070.71696324024,6251879.246359146
Asian restaurant,260170.57054648007,6252167.938465549
Caribbean restaurant,261996.098876,6255784.869576475
African restaurant,262051.42466292492,6255859.021909613
African restaurant,262171.87235196366,6256197.6252927175
African restaurant,262061.44341709628,6256270.088176036
Caribbean restaurant,261959.69740251114,6256272.627774321
African restaurant,261903.03578169708,6256295.314886116
Traditional French restaurant,265483.29324459005,6249822.642195438
European restuarant,265495.98366653966,6249475.327574712
Central and South American restuarant,265851.20416166063,6249532.507473056
Asian restaurant,265949.16531356086,6249534.199191903
Traditional French restaurant,265842.0759634163,6249395.141030198
European restuarant,266077.07140848105,6249517.282018633
Asian restaurant,266257.1863445858,6249498.6731670555
Traditional French restaurant,266538.26805883704,6249535.383395297
Asian restaurant,266562.86966630333,6249352.848854678
Traditional French restaurant,266464.1292779702,6249716.737640671
Asian restaurant,266110.6898947004,6249752.095403886
Traditional French restaurant,260659.2631110631,6250589.728452888
Traditional French restaurant,260650.5801907809,6250594.127471647
Asian restaurant,261454.5295532907,6247545.816874598
European restuarant,261306.14067206287,6247385.481068654
European restuarant,261221.0925810976,6247382.436747264
European restuarant,260556.73786004217,6247787.848506426
Maghrebian restaurant,257883.28896915083,6255491.991139346
Traditional French restaurant,257513.93089869985,6255655.189203489
Asian restaurant,257512.48374531948,6255678.043955313
Asian restaurant,257322.4613745346,6255623.361948178
Traditional French restaurant,259826.59331992836,6255575.790582219
Central and South American restuarant,259987.78394259707,6255637.582621935
Traditional French restaurant,260062.25668193767,6255520.939944013
Asian restaurant,260038.21167192754,6252144.585514301
European restuarant,259935.90905988906,6252360.518156481
Asian restaurant,259561.31897336993,6254886.797568033
Maghrebian restaurant,259535.38153201452,6254698.223012993
Traditional French restaurant,259395.56425157766,6254215.972004244
Traditional French restaurant,259609.0750349193,6254138.448781812
African restaurant,259944.25802169758,6254534.535579228
Asian restaurant,259860.32312563897,6254727.8462063065
Traditional French restaurant,259751.3413441548,6254937.242819971
Asian restaurant,262629.1728201406,6256245.200153185
Maghrebian restaurant,262639.97081074776,6255589.841883138
Maghrebian restaurant,264329.57804200705,6254660.136202461
Asian restaurant,264978.5706733345,6253338.206866521
Asian restaurant,265170.8194339328,6253404.213807247
Traditional French restaurant,261127.0276113764,6250847.58248758
Traditional French restaurant,261465.88414135118,6251334.887139621
European restuarant,261383.73035714665,6251164.834935368
Traditional French restaurant,260976.74629880607,6251430.151707453
Traditional French restaurant,260886.57751126387,6251176.848461588
Traditional French restaurant,260777.48441028566,6251337.932881872
European restuarant,260811.54817446996,6251366.867487844
Traditional French restaurant,260759.22801379702,6251414.58442241
Traditional French restaurant,260759.56197226787,6251428.459609864
Traditional French restaurant,260758.33745787,6251502.066167391
Central and South American restuarant,260696.7777794615,6248727.625967245
European restuarant,260605.16183853892,6248871.071295044
Asian restaurant,261553.3812611151,6248249.436034825
Traditional French restaurant,260825.5744303087,6249002.846914937
European restuarant,260816.22359308193,6248807.129563487
Indian / Middle Eastern restaurant,261498.72339113476,6248699.038686303
European restuarant,261456.75594310687,6248950.068756887
European restuarant,261397.31133502332,6249006.0609800555
Asian restaurant,261338.7572828668,6249060.0236239135
European restuarant,261401.65279516444,6249208.380375751
Asian restaurant,261425.80912466577,6249166.934955483
Asian restaurant,261271.2976714456,6249412.3962984625
European restuarant,261343.32138198754,6249269.110970107
Traditional French restaurant,261424.25065179417,6249820.1045308765
Asian restaurant,259900.0641838535,6255401.420957066
European restuarant,260143.74254920045,6256932.779860815
Asian restaurant,260462.0049733764,6254989.88902423
Asian restaurant,260604.3826021031,6254943.506177597
European restuarant,259882.69834328908,6254731.57027223
Traditional French restaurant,258058.61716714952,6253646.412913043
Asian restaurant,258014.75728777915,6253759.983153603
European restuarant,257945.62788399513,6253750.843316332
Traditional French restaurant,258075.98300771395,6253717.669175047
Asian restaurant,258432.09405876196,6254002.361697539
European restuarant,257937.50156116908,6254622.218836839
Asian restaurant,257731.11522523803,6254339.53668638
European restuarant,264774.076768746,6253936.011574021
Asian restaurant,265629.23309701926,6255674.9966515
European restuarant,266656.26671908,6254043.323002753
European restuarant,265551.19813397335,6254344.106921536
European restuarant,260754.9978731443,6251348.423780216
Traditional French restaurant,260507.42332562117,6251517.972036298
Traditional French restaurant,260564.64154388857,6251593.440715043
European restuarant,260643.45574337026,6251857.924823624
European restuarant,261455.42010921772,6251483.791376173
Traditional French restaurant,261435.04864240132,6251642.343424258
Asian restaurant,261272.9674638056,6251733.719485461
Traditional French restaurant,261348.10812009074,6249649.4060404105
Indian / Middle Eastern restaurant,261340.98367268013,6249655.157965254
Traditional French restaurant,261254.0431503724,6249726.549828106
Asian restaurant,261247.58661990633,6249734.670267684
Asian restaurant,261171.11012973206,6249735.854499106
Asian restaurant,261149.73678749736,6249663.278336384
Traditional French restaurant,261307.14254748114,6249726.549828106
European restuarant,261268.06940621114,6249730.948398582
Traditional French restaurant,260786.2786500591,6250536.263638302
Traditional French restaurant,260786.2786500591,6250536.263638302
European restuarant,260946.13343883867,6250987.341301415
Traditional French restaurant,261008.91763164508,6250842.168148941
Asian restaurant,261326.7347778589,6250860.27235732
Traditional French restaurant,261437.2750322175,6251159.928007027
Traditional French restaurant,261428.14683397318,6251195.63020574
European restuarant,261335.08373967026,6251120.165071868
Traditional French restaurant,260415.13946775405,6255232.133494853
Traditional French restaurant,260609.50329868004,6255279.195069626
European restuarant,260592.13745811558,6255218.08278763
Asian restaurant,260474.58407583763,6255239.412786077
Traditional French restaurant,261162.98380690315,6256491.036076929
Indian / Middle Eastern restaurant,261406.10557479676,6256333.409053878
European restuarant,258734.2151567742,6254920.991967734
Traditional French restaurant,258737.7773804795,6254682.31116909
Traditional French restaurant,259028.76652941373,6254367.973745203
Asian restaurant,259446.77121734392,6254012.1788518075
Asian restaurant,259060.60390378186,6254758.1466084095
Asian restaurant,264979.57254875,6255381.444860368
Traditional French restaurant,265012.5231180248,6255200.984970537
Indian / Middle Eastern restaurant,264486.6498435171,6256424.327827089
European restuarant,263920.14495487063,6255455.762950162
Other world restaurant,264336.3685309468,6255668.732752675
European restuarant,264488.4309553712,6256176.46218448
European restuarant,264665.094987259,6256200.842089801
Traditional French restaurant,264945.28614558605,6255829.564055673
Traditional French restaurant,261369.70410130505,6252447.501983438
Asian restaurant,261665.47998834247,6252116.49436841
Indian / Middle Eastern restaurant,261665.47998834247,6252116.49436841
Traditional French restaurant,261344.7685353679,6252188.2454320295
European restuarant,261307.36518646075,6251949.641651282
Asian restaurant,262963.9105289568,6250119.892564612
European restuarant,262911.59036828385,6250063.047065775
Traditional French restaurant,263244.88092371967,6249770.873988853
Asian restaurant,261164.3196407923,6251110.012863025
Indian / Middle Eastern restaurant,260974.8538674636,6251340.809417221
European restuarant,260905.8357831708,6251291.231621117
Asian restaurant,260812.55004988538,6251362.975692981
Asian restaurant,252812.24088555409,6248891.201199317
European restuarant,253285.90531888008,6249318.846098694
Traditional French restaurant,253513.7763165342,6249662.601638494
European restuarant,253271.87906304133,6249618.954738674
Asian restaurant,252301.6183812859,6249157.630909412
European restuarant,259897.50383556364,6256389.619427857
Asian restaurant,259909.74897955116,6256310.213917983
Traditional French restaurant,259656.4971379978,6255798.244036041
Traditional French restaurant,259160.23484804205,6254752.899044974
Traditional French restaurant,259120.71642880997,6254950.954500805
European restuarant,259249.84703813092,6255155.616672747
Traditional French restaurant,260154.76317878725,6254444.1449090345
Traditional French restaurant,260188.38166500663,6254552.478411328
Indian / Middle Eastern restaurant,260195.39479292883,6254470.889613546
European restuarant,260028.08159826495,6254471.058884102
Traditional French restaurant,260302.15018459965,6254003.377264693
Traditional French restaurant,264026.78902705025,6255164.250173371
Indian / Middle Eastern restaurant,264251.87703743484,6255127.007684584
Asian restaurant,265977.55178371206,6255900.669395263
Maghrebian restaurant,265750.2373835113,6255367.055328392
European restuarant,265722.74146928714,6255464.73533771
Asian restaurant,267555.50556570606,6254046.877505525
Asian restaurant,263534.0889607998,6249871.365502429
Traditional French restaurant,263307.99907499977,6249219.714464772
Traditional French restaurant,263365.99652970297,6250135.457470113
Asian restaurant,262243.5621040319,6249660.9098940035
Traditional French restaurant,261584.3280795562,6250031.9175495105
Traditional French restaurant,261632.52941906767,6250159.650803925
Traditional French restaurant,261604.58822687855,6249688.823721342
Asian restaurant,251910.6643296206,6248097.544068085
Indian / Middle Eastern restaurant,251684.4631243293,6249199.2454493735
Asian restaurant,251548.09674810653,6248953.113641687
Traditional French restaurant,251868.80820108112,6249176.069847016
Traditional French restaurant,252189.07437609357,6250081.995522998
Asian restaurant,253310.84088481724,6249952.064096164
Traditional French restaurant,254145.29178780323,6250230.877733346
Traditional French restaurant,254647.1200523008,6250868.393883935
European restuarant,254368.93264480744,6250941.8263739385
Traditional French restaurant,260091.64502750715,6256250.448641711
Traditional French restaurant,259876.35313231425,6255839.8912226865
Traditional French restaurant,260263.633640783,6255719.6905506225
Traditional French restaurant,260286.3428169068,6255681.768439232
Asian restaurant,260162.44422365402,6255538.038407303
European restuarant,260161.10838976206,6255748.301541737
Indian / Middle Eastern restaurant,261034.52111452678,6256838.977221494
Traditional French restaurant,261068.02828125493,6256839.146539401
Traditional French restaurant,261124.24462410688,6256922.451360431
African restaurant,261186.13826098907,6256920.588845311
European restuarant,261282.54094001485,6256575.184035285
Traditional French restaurant,259397.56800241137,6254151.312848205
Maghrebian restaurant,260319.96130312618,6253894.373751827
Asian restaurant,260005.81770010607,6253538.260254998
Traditional French restaurant,259584.58474694425,6253621.194094626
Traditional French restaurant,259488.96130435428,6253625.256181107
Traditional French restaurant,259472.4860197169,6253608.5000869315
Asian restaurant,259336.56492145904,6253557.216489584
European restuarant,265683.0004110726,6255033.902179368
Asian restaurant,264827.28748534597,6255357.575179516
Indian / Middle Eastern restaurant,265093.11842936056,6255668.055574702
Traditional French restaurant,263045.6190351992,6250341.525980347
Traditional French restaurant,263050.4057733024,6250379.593371999
Traditional French restaurant,263647.96879988123,6250317.839689664
Other world restaurant,263537.3172260314,6250174.708228387
European restuarant,263671.5685319292,6250132.581344115
Traditional French restaurant,263598.65426546027,6250084.70244892
Asian restaurant,263405.96022689715,6249897.419052422
European restuarant,259150.55005234157,6254881.549924858
Traditional French restaurant,259416.9375938095,6255096.875245376
European restuarant,259539.38903368192,6254729.708239061
Asian restaurant,254272.08468781674,6250891.235719286
European restuarant,253667.50853331859,6247311.402892025
Traditional French restaurant,253531.92139353443,6246315.976802144
European restuarant,252249.29822061295,6247881.550938958
European restuarant,261415.79037049442,6257131.055647373
Traditional French restaurant,259256.63752706783,6257395.374144699
Traditional French restaurant,260983.53678774298,6255668.732752675
Traditional French restaurant,259385.65681689754,6249501.210735315
Traditional French restaurant,260152.6481084623,6250162.865308023
Traditional French restaurant,260248.2715510551,6250006.201948455
Traditional French restaurant,260259.9600975893,6250015.168563639
Traditional French restaurant,265206.44167098583,6257088.216847556
Traditional French restaurant,264948.40309132927,6256807.653466955
Traditional French restaurant,265411.7148120102,6257359.815121953
European restuarant,264024.2286787632,6248734.053889853
Asian restaurant,264038.0322956195,6248841.806897686
Other world restaurant,263854.5777747947,6248962.417463117
Maghrebian restaurant,262427.684541804,6247477.149480726
Maghrebian restaurant,265684.11360598204,6247896.266036065
European restuarant,259334.22721215163,6254368.820087701
Traditional French restaurant,259562.54348776783,6254133.032338652
Traditional French restaurant,259735.7566154416,6254003.885048314
Central and South American restuarant,259673.75165907101,6253996.268297163
European restuarant,259548.40591243785,6254539.105919644
European restuarant,259882.25306532698,6254685.188840771
European restuarant,259882.25306532698,6254685.188840771
Asian restaurant,259604.84489426942,6254957.556429128
Asian restaurant,252640.36359176948,6250407.340378609
Traditional French restaurant,253093.09996082573,6250854.012019206
Traditional French restaurant,253033.0987552888,6250861.118349312
Asian restaurant,253179.59520517135,6251675.001792173
Traditional French restaurant,253249.05856742628,6251170.587889461
Traditional French restaurant,253598.26781004615,6251443.350080232
African restaurant,261346.43832773075,6255800.444898501
African restaurant,261349.109995509,6255819.914091328
Traditional French restaurant,260726.9453614668,6256258.913952642
Traditional French restaurant,260858.97027754562,6256298.193106136
Traditional French restaurant,260516.5515238655,6256656.454487321
Traditional French restaurant,260521.2269424803,6255508.412378966
Traditional French restaurant,260460.44650050762,6255705.30044371
Traditional French restaurant,260592.02613862435,6255662.468858482
Traditional French restaurant,260571.20939384584,6255668.394163679
Traditional French restaurant,260481.26324528613,6255731.033358018
Asian restaurant,260620.52392826683,6255304.080252674
Central and South American restuarant,260602.93544872274,6255339.630641062
Traditional French restaurant,260671.17429657694,6255163.403751352
Traditional French restaurant,260801.75205927822,6255124.80699719
Asian restaurant,260500.52151719303,6249410.873773376
Asian restaurant,260519.00055266413,6249352.848854678
Traditional French restaurant,260525.4570831302,6249336.777883348
Asian restaurant,260553.84355328142,6249170.149082862
Asian restaurant,260584.3450937604,6249072.8799784845
Traditional French restaurant,260389.20202639865,6249339.99207517
Asian restaurant,260403.45092121986,6249690.515471412
Indian / Middle Eastern restaurant,260414.02627284455,6249671.398715304
Asian restaurant,260161.55366772698,6247733.893965832
Asian restaurant,266430.5107917508,6246837.182604535
Traditional French restaurant,265612.75781238184,6246672.970568062
Traditional French restaurant,265014.6381883497,6247602.476350216
Traditional French restaurant,265032.78326535,6247643.237580466
Asian restaurant,265151.56116202584,6247683.322467039
Asian restaurant,264385.5717458765,6248745.89481269
European restuarant,265070.2979337455,6248864.304951409
Asian restaurant,265220.24528784497,6248605.66551777
Indian / Middle Eastern restaurant,265320.4328295585,6248750.800342716
European restuarant,257982.91991341102,6254549.262240514
Asian restaurant,257684.0270806304,6254366.958134314
Traditional French restaurant,257737.12647773913,6254379.991816632
Traditional French restaurant,253652.25776308193,6251058.575191907
Indian / Middle Eastern restaurant,253216.2193176427,6250768.059736786
Traditional French restaurant,253659.15957151007,6250636.933427325
Traditional French restaurant,253638.4541462228,6250653.514448526
Asian restaurant,253474.03525831964,6250747.079390847
European restuarant,253545.61369089948,6250617.645341469
Traditional French restaurant,253575.3359949427,6250532.203033257
Traditional French restaurant,263101.83537804836,6248273.454835738
Asian restaurant,263091.26002642367,6248187.867025203
European restuarant,262894.1132082282,6247785.311451362
European restuarant,262798.1558071645,6247727.974209569
Other world restaurant,262559.26417992363,6247612.455222481
Traditional French restaurant,262313.02546628966,6247681.461982875
Indian / Middle Eastern restaurant,262277.8485071987,6247629.368592145
Asian restaurant,262192.9117357218,6247996.904454293
