age,amount,fraud,M,es_barsandrestaurants,es_contents,es_fashion,es_food,es_health,es_home,es_hotelservices,es_hyper,es_leisure,es_otherservices,es_sportsandtoys,es_tech,es_transportation,es_travel
2,17.08,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,43.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,23.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,9.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,7.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,65.76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,22.08,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,18.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,95.41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,14.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,46.03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,14.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,52.79,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,22.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,26.45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,48.38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,4.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,43.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,12.18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,32.41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,32.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,12.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,15.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,23.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,8.14,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,1.0998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,36.83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,26.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,17.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,10.43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,53.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,188.94,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,228.05,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,14.23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,28.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,13.01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,1.31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,51.02,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,19.87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,95.43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,57.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,30.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,44.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,28.09,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,28.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,88.74,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,48.89,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,39.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,48.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,13.74,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,43.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,26.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,27.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,17.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,103.79,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,31.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,32.31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,16.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,36.01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,47.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,25.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,44.51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,50.84,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,18.97,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,48.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,30.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,30.92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,6.26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,8.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,38.18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,21.22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1.0998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,71.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,28.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,75.48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,9.14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,40.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1.99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,29.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,28.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,6.24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,6.72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,37.63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8.03,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,26.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,5.69,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,28.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,41.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,33.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,45.87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,94.56,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,3.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,42.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,27.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,9.18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,17.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1.0998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,18.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,39.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,19.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,47.31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,12.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,32.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,27.06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,7.38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,52.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,14.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,21.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,62.77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,22.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,32.36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,57.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,50.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,59.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,4.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,37.81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,45.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,34.91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,69.76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,11.87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,31.66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,5.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,83.52,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,26.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,1.0998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,26.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,26.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,28.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,61.85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,4.91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,62.35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,22.33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,88.62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,11.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,24.28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,125.13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,10.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,35.56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,5.43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,37.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,4.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,10.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,51.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,39.85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,94.51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,36.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,8.64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,34.97,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,21.78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,10.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,36.31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,1.0998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,34.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,18.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,64.92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,16.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,236.1474,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,55.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,36.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,1.0998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,30.57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,33.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,30.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,10.68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,35.26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,49.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,42.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,69.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,8.21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,79.41,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,13.62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,24.69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,8.14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,57.8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,81.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,58.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,22.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1.48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,32.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,30.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,34.61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,15.85,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,46.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,11.12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,42.38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,8.59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,32.23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,31.73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,45.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,22.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,41.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,52.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,32.22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,54.55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,4.04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,39.21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,11.84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,132.73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,12.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,27.31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,31.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,44.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,46.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,36.35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,34.32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,36.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,13.58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,32.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,13.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,28.23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,24.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,136.56,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,23.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,45.73,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,11.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,5.52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,39.18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,53.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,37.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,40.03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,1.0998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,15.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,14.83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,38.32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,87.84,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,2.96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,6.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,20.94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,17.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,44.65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,209.24,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,44.42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,46.41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,41.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,33.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7.53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,53.64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,27.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,46.89,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,32.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,27.63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,47.33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,66.27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,33.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,37.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,32.83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,32.73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,20.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,5.43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,24.55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,25.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,13.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,18.62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,8.86,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,45.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,29.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,33.53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,45.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,19.18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,6.18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,60.33,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,63.32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,30.51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,20.96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,37.73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,5.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,47.03,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,8.85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,31.62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2.02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,30.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,35.64,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,7.92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,45.22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,30.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,236.1474,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,5.68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,33.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,23.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,33.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,53.17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,17.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,8.85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,1.0998,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,33.21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,21.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,13.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,38.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,21.21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,72.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,55.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,31.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,13.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,2.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,24.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,10.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,21.44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,1.0998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,19.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
