age,gender,category,amount,fraud
4,F,es_transportation,45.86,0
5,M,es_transportation,34.91,0
5,F,es_food,69.76,0
2,M,es_transportation,11.87,0
1,M,es_transportation,31.66,0
1,M,es_transportation,5.4,0
6,M,es_food,83.52,0
4,F,es_transportation,26.56,0
4,M,es_transportation,1.0998,0
1,F,es_transportation,26.41,0
3,F,es_transportation,26.69,0
0,F,es_transportation,28.04,0
4,M,es_transportation,61.85,0
3,M,es_transportation,4.91,0
3,M,es_transportation,62.35,0
3,M,es_transportation,22.33,0
2,F,es_health,88.62,0
2,M,es_transportation,11.25,0
6,M,es_transportation,24.28,0
5,F,es_health,125.13,0
4,F,es_transportation,10.59,0
3,M,es_transportation,35.56,0
2,M,es_transportation,5.43,0
4,F,es_transportation,20.52,0
2,F,es_transportation,37.22,0
3,M,es_transportation,4.4,0
2,F,es_transportation,10.63,0
3,M,es_transportation,14,0
2,F,es_transportation,51.96,0
0,M,es_transportation,39.85,0
2,F,es_barsandrestaurants,94.51,0
3,M,es_transportation,36.67,0
1,M,es_transportation,8.64,0
2,F,es_fashion,34.97,0
4,M,es_transportation,21.78,0
3,F,es_transportation,10.83,0
2,M,es_transportation,36.31,0
3,M,es_transportation,1.0998,0
2,F,es_transportation,34.05,0
4,F,es_transportation,18.15,0
4,M,es_transportation,64.92,0
5,F,es_transportation,16.84,0
4,M,es_health,236.1474,0
3,F,es_transportation,55.61,0
2,M,es_transportation,36.4,0
3,F,es_transportation,1.0998,0
3,M,es_transportation,30.57,0
1,M,es_transportation,33.11,0
5,F,es_transportation,30.31,0
4,M,es_transportation,10.68,0
2,M,es_transportation,35.26,0
3,F,es_transportation,49.75,0
2,F,es_transportation,42.81,0
4,F,es_transportation,69.47,0
2,M,es_transportation,8.21,0
2,F,es_fashion,79.41,0
2,M,es_transportation,13.62,0
2,M,es_transportation,24.69,0
2,M,es_transportation,8.14,0
2,M,es_barsandrestaurants,57.8,0
5,F,es_transportation,81.83,0
4,F,es_transportation,58.52,0
1,F,es_transportation,22.02,0
5,F,es_transportation,14,0
1,M,es_transportation,1.48,0
3,F,es_transportation,32.6,0
2,F,es_transportation,30.63,0
3,M,es_transportation,34.61,0
3,M,es_food,15.85,0
6,F,es_transportation,46.49,0
2,F,es_transportation,58,0
1,M,es_transportation,11.12,0
1,F,es_transportation,8.41,0
4,M,es_transportation,42.38,0
2,M,es_transportation,8.59,0
5,F,es_barsandrestaurants,32.23,0
3,M,es_transportation,31.73,0
4,F,es_transportation,45.06,0
3,F,es_transportation,22.88,0
3,M,es_transportation,41.5,0
2,F,es_transportation,52.33,0
2,M,es_transportation,32.22,0
4,M,es_transportation,54.55,0
5,M,es_transportation,4.04,0
1,M,es_transportation,39.21,0
2,M,es_transportation,11.84,0
4,M,es_wellnessandbeauty,132.73,0
2,F,es_transportation,2.94,0
3,F,es_transportation,12.04,0
2,M,es_transportation,27.31,0
3,F,es_food,31.4,0
1,F,es_transportation,44.95,0
3,F,es_transportation,46.05,0
1,F,es_food,36.35,0
2,M,es_transportation,34.32,0
2,M,es_transportation,36.67,0
4,M,es_transportation,13.58,0
2,F,es_transportation,32.12,0
2,F,es_transportation,13.65,0
4,M,es_transportation,28.23,0
2,F,es_transportation,24.92,0
4,F,es_transportation,21,0
1,F,es_health,136.56,0
5,F,es_home,23.8,0
6,M,es_sportsandtoys,45.73,0
3,F,es_transportation,11.65,0
2,M,es_transportation,5.52,0
1,M,es_transportation,39.18,0
2,F,es_wellnessandbeauty,53.29,0
5,F,es_transportation,37.03,0
2,M,es_transportation,40.03,0
3,F,es_transportation,1.0998,0
1,F,es_transportation,15.9,0
6,M,es_transportation,14.83,0
4,M,es_transportation,38.32,0
4,M,es_food,87.84,0
3,M,es_transportation,2.96,0
2,M,es_transportation,6.9,0
2,M,es_transportation,20.94,0
2,F,es_transportation,17.86,0
4,M,es_transportation,44.65,0
5,M,es_tech,209.24,0
2,M,es_transportation,44.42,0
4,M,es_transportation,46.41,0
3,F,es_transportation,41.17,0
5,F,es_wellnessandbeauty,33.17,0
4,M,es_transportation,7.53,0
3,M,es_transportation,53.64,0
2,F,es_transportation,9.6,0
6,F,es_transportation,27.35,0
4,M,es_transportation,46.89,0
2,F,es_transportation,32.26,0
2,M,es_transportation,27.63,0
4,M,es_transportation,47.33,0
5,M,es_transportation,66.27,0
5,F,es_transportation,33.97,0
2,F,es_transportation,37.08,0
2,M,es_transportation,32.83,0
2,F,es_food,32.73,0
1,F,es_transportation,20.96,0
1,M,es_transportation,5.43,0
4,M,es_transportation,24.55,0
3,F,es_transportation,25.96,0
2,F,es_transportation,13.38,0
3,M,es_transportation,18.62,0
2,M,es_wellnessandbeauty,8.86,0
5,F,es_transportation,45.93,0
2,F,es_transportation,29.94,0
2,M,es_transportation,33.53,0
6,F,es_transportation,45.16,0
5,M,es_transportation,19.18,0
1,F,es_transportation,19.5,0
2,M,es_transportation,6.18,0
2,M,es_food,60.33,0
4,M,es_transportation,63.32,0
1,M,es_transportation,30.51,0
5,M,es_transportation,20.96,0
5,M,es_transportation,37.73,0
3,F,es_transportation,5.34,0
4,M,es_transportation,47.03,0
3,M,es_transportation,8.85,0
5,M,es_transportation,31.62,0
1,M,es_transportation,2.02,0
4,F,es_transportation,30.38,0
6,F,es_food,35.64,0
2,M,es_transportation,7.92,0
3,M,es_transportation,45.22,0
3,F,es_transportation,30.03,0
3,F,es_health,236.1474,0
2,M,es_transportation,5.68,0
4,F,es_transportation,33.65,0
4,F,es_transportation,23.47,0
2,F,es_wellnessandbeauty,33.46,0
2,F,es_transportation,2.99,0
4,M,es_transportation,53.17,0
4,F,es_transportation,17.8,0
5,M,es_transportation,8.85,0
3,M,es_transportation,1.0998,0
4,F,es_sportsandtoys,33.21,0
3,F,es_transportation,21.19,0
6,F,es_transportation,13.94,0
5,M,es_transportation,38.1,0
1,F,es_food,21.21,0
2,F,es_transportation,72.98,0
2,F,es_transportation,55.52,0
3,F,es_transportation,31.48,0
3,F,es_transportation,13.59,0
2,F,es_transportation,2.42,0
2,F,es_transportation,24.71,0
3,F,es_transportation,10.73,0
4,M,es_transportation,21.44,0
3,F,es_transportation,1.0998,0
1,F,es_transportation,19.23,0
6,M,es_fashion,58.07,0
2,M,es_transportation,28.95,0
3,F,es_transportation,2.97,0
5,F,es_transportation,28.21,0
2,F,es_transportation,27.92,0
5,M,es_transportation,14.28,0
3,M,es_transportation,13.61,0
3,F,es_health,61.61,0
2,F,es_food,27.83,0
2,F,es_transportation,7.09,0
1,M,es_transportation,32.02,0
4,F,es_transportation,24.57,0
4,F,es_transportation,33.65,0
2,M,es_transportation,37.02,0
6,F,es_food,20.8,0
3,F,es_transportation,6.07,0
2,F,es_transportation,35.55,0
4,F,es_transportation,28.2,0
2,F,es_transportation,14.02,0
2,F,es_transportation,8.27,0
6,F,es_transportation,24.43,0
4,M,es_food,3.02,0
3,M,es_transportation,6.31,0
3,M,es_transportation,18.89,0
3,M,es_transportation,2.4,0
3,F,es_transportation,23.07,0
2,F,es_transportation,8.67,0
2,F,es_wellnessandbeauty,85.33,0
6,F,es_transportation,1.48,0
3,F,es_transportation,8.07,0
2,M,es_transportation,20.07,0
4,M,es_food,36.15,0
5,M,es_transportation,6.26,0
5,F,es_transportation,16.3,0
1,F,es_transportation,23.64,0
3,F,es_transportation,10.69,0
2,F,es_wellnessandbeauty,134.27,0
4,F,es_health,194.6,0
3,F,es_transportation,27.89,0
2,F,es_wellnessandbeauty,82.36,0
1,F,es_transportation,6.75,0
3,F,es_transportation,27.79,0
5,F,es_sportsandtoys,59.53,0
5,M,es_transportation,1.72,0
1,M,es_hyper,3.53,0
5,M,es_transportation,30.46,0
2,F,es_transportation,33.99,0
2,F,es_transportation,23.97,0
4,M,es_transportation,13.19,0
2,F,es_transportation,39.91,0
3,F,es_health,236.1474,0
3,M,es_transportation,12.65,0
3,F,es_transportation,24.15,0
2,M,es_transportation,41.13,0
4,F,es_transportation,9.35,0
1,M,es_transportation,40.01,0
3,M,es_transportation,11.85,0
3,F,es_transportation,59.95,0
2,M,es_transportation,6.82,0
5,M,es_transportation,59.11,0
3,M,es_transportation,47.79,0
4,F,es_transportation,35.59,0
4,M,es_transportation,36.64,0
1,M,es_transportation,54.07,0
4,M,es_transportation,13.01,0
3,M,es_transportation,18.18,0
0,F,es_transportation,12.18,0
6,F,es_transportation,26.94,0
4,F,es_transportation,19.16,0
4,F,es_transportation,3.08,0
3,M,es_transportation,27.36,0
5,M,es_transportation,46,0
5,M,es_transportation,23.32,0
2,M,es_transportation,2.27,0
1,F,es_transportation,38.73,0
4,F,es_transportation,25.89,0
5,F,es_transportation,50.58,0
5,M,es_transportation,26.66,0
4,F,es_hyper,7.26,0
2,F,es_transportation,42.25,0
2,F,es_transportation,32.03,0
2,F,es_wellnessandbeauty,65.05,0
5,M,es_transportation,12.65,0
2,F,es_transportation,37.49,0
1,M,es_transportation,6.57,0
2,F,es_transportation,22.29,0
3,F,es_food,23.59,0
4,M,es_transportation,56.28,0
2,F,es_transportation,47.63,0
3,M,es_transportation,63.75,0
2,M,es_transportation,20.23,0
2,M,es_transportation,13.73,0
1,F,es_transportation,26.23,0
3,M,es_transportation,57.35,0
5,M,es_transportation,40.65,0
1,F,es_transportation,23.76,0
2,F,es_food,27.71,0
3,M,es_health,54.52,0
6,F,es_transportation,19.2,0
2,F,es_transportation,26.7,0
2,F,es_food,39.32,0
4,F,es_transportation,45.34,0
6,M,es_transportation,53.28,0
6,M,es_barsandrestaurants,157.3,0
3,M,es_transportation,16.3,0
3,M,es_transportation,44.68,0
2,M,es_transportation,33.05,0
2,M,es_transportation,47.74,0
4,M,es_transportation,43.46,0
6,F,es_transportation,4.29,0
1,F,es_transportation,13.01,0
5,M,es_transportation,25.87,0
1,F,es_transportation,45.72,0
5,F,es_transportation,27.18,0
4,F,es_transportation,60.21,0
1,M,es_transportation,49.59,0
2,M,es_transportation,46.08,0
3,F,es_transportation,9.49,0
5,F,es_transportation,45.47,0
2,F,es_transportation,38.08,0
U,E,es_transportation,1.0998,0
5,M,es_transportation,14.04,0
2,F,es_food,28.64,0
1,M,es_transportation,26.86,0
1,M,es_wellnessandbeauty,37.16,0
1,M,es_transportation,29.49,0
2,M,es_barsandrestaurants,62.88,0
4,F,es_transportation,5.08,0
4,F,es_health,90.52,0
5,M,es_transportation,4.28,0
4,M,es_transportation,1.26,0
2,F,es_health,205.51,0
3,M,es_wellnessandbeauty,39.96,0
5,F,es_health,106.54,0
2,F,es_food,83.49,0
4,F,es_wellnessandbeauty,5.88,0
5,F,es_transportation,58.97,0
3,M,es_transportation,26.82,0
2,M,es_transportation,29.6,0
2,F,es_transportation,1.0998,0
4,F,es_transportation,42.98,0
2,M,es_transportation,27.97,0
5,F,es_transportation,33.52,0
2,F,es_transportation,27.89,0
2,M,es_transportation,51.15,0
0,F,es_transportation,26.17,0
2,M,es_transportation,13.88,0
2,F,es_transportation,9.62,0
1,F,es_health,86.9,0
2,F,es_transportation,2.5,0
4,M,es_transportation,34.73,0
4,F,es_wellnessandbeauty,95.07,0
3,M,es_transportation,4.26,0
4,M,es_transportation,48.4,0
4,F,es_transportation,53.85,0
3,M,es_transportation,20.85,0
2,M,es_transportation,10.92,0
2,F,es_transportation,32.24,0
3,M,es_transportation,38.07,0
2,F,es_transportation,4.68,0
3,M,es_transportation,47.11,0
4,M,es_transportation,59.36,0
3,M,es_transportation,57.19,0
2,F,es_transportation,25.21,0
3,F,es_transportation,29.83,0
2,F,es_transportation,2.53,0
2,M,es_transportation,58.91,0
5,F,es_transportation,8.12,0
1,F,es_transportation,42.77,0
2,M,es_transportation,23.09,0
2,F,es_transportation,4.97,0
3,M,es_transportation,3.8,0
1,M,es_transportation,7.72,0
1,M,es_fashion,107.73,0
6,M,es_transportation,4.9,0
3,M,es_transportation,26.25,0
4,F,es_transportation,45.18,0
3,F,es_transportation,30.58,0
2,M,es_transportation,1.0998,0
2,M,es_transportation,72.19,0
3,F,es_transportation,43.87,0
4,M,es_transportation,21.27,0
3,M,es_transportation,44.83,0
2,F,es_transportation,11.41,0
2,F,es_transportation,48.89,0
2,F,es_transportation,12.88,0
3,M,es_transportation,35.28,0
2,M,es_transportation,52.63,0
6,M,es_transportation,20.39,0
1,M,es_transportation,43.98,0
1,M,es_transportation,29.9,0
2,F,es_transportation,2.56,0
1,M,es_transportation,48.05,0
2,F,es_transportation,11.08,0
2,M,es_transportation,30.94,0
5,M,es_transportation,26.63,0
2,F,es_transportation,21.24,0
4,M,es_health,116.85,0
4,M,es_wellnessandbeauty,31.23,0
5,M,es_transportation,6.37,0
0,F,es_transportation,14.88,0
2,F,es_transportation,2.55,0
2,F,es_transportation,29.26,0
4,F,es_transportation,5.76,0
1,F,es_transportation,13.11,0
3,M,es_barsandrestaurants,40.49,0
5,F,es_food,3.58,0
0,F,es_health,46.23,0
3,F,es_transportation,33.34,0
1,F,es_transportation,5.47,0
2,M,es_transportation,18.31,0
4,F,es_transportation,44.73,0
3,F,es_transportation,28.83,0
1,F,es_fashion,236.1474,0
6,F,es_transportation,50.21,0
5,F,es_barsandrestaurants,14.22,0
2,M,es_transportation,27.39,0
2,F,es_transportation,41.76,0
5,F,es_food,28.54,0
2,F,es_transportation,31.72,0
2,F,es_transportation,26.1,0
3,F,es_hyper,43.88,0
3,F,es_sportsandtoys,236.1474,0
2,F,es_transportation,38.3,0
2,M,es_transportation,48.19,0
3,M,es_transportation,22.21,0
3,F,es_transportation,41.5,0
2,M,es_transportation,18.12,0
4,F,es_transportation,13.87,0
3,F,es_hyper,62.02,0
1,F,es_transportation,41.84,0
5,F,es_transportation,16.68,0
4,F,es_food,34.51,0
4,F,es_transportation,50.47,0
5,F,es_transportation,12.78,0
3,M,es_transportation,45.49,0
2,M,es_transportation,19.27,0
2,M,es_transportation,57.98,0
1,F,es_food,56.34,0
3,M,es_barsandrestaurants,47.06,0
6,M,es_health,138.65,0
3,M,es_transportation,34.34,0
5,F,es_hyper,46.64,0
2,F,es_transportation,31.22,0
2,F,es_transportation,51.51,0
2,F,es_transportation,2.59,0
5,M,es_transportation,41.86,0
4,F,es_transportation,14.89,0
2,F,es_transportation,32.02,0
2,F,es_transportation,13.08,0
2,F,es_transportation,61.51,0
2,F,es_food,47.14,0
4,M,es_wellnessandbeauty,8.11,0
2,M,es_transportation,25.79,0
4,F,es_transportation,7.5,0
2,F,es_transportation,21.81,0
3,F,es_transportation,4.01,0
2,F,es_transportation,11.55,0
1,M,es_transportation,26.68,0
4,F,es_transportation,42.71,0
2,F,es_transportation,21.24,0
1,M,es_transportation,43.31,0
2,F,es_transportation,9.09,0
4,F,es_transportation,41.55,0
4,M,es_transportation,27.5,0
4,F,es_transportation,3.45,0
3,F,es_transportation,29.75,0
2,M,es_wellnessandbeauty,21.31,0
2,F,es_transportation,30.32,0
4,F,es_transportation,5.05,0
2,M,es_transportation,31.95,0
3,M,es_transportation,45.36,0
2,F,es_transportation,39.92,0
3,F,es_transportation,42.98,0
4,F,es_transportation,22.09,0
2,F,es_food,10.11,0
1,F,es_transportation,20.34,0
6,M,es_transportation,29.15,0
2,F,es_transportation,12.31,0
2,M,es_health,81.63,0
2,M,es_transportation,42.97,0
2,M,es_transportation,10.02,0
1,M,es_transportation,11.06,0
2,F,es_sportsandtoys,37.87,0
2,F,es_transportation,21.92,0
2,M,es_transportation,35.53,0
4,F,es_transportation,35.63,0
1,F,es_transportation,33.52,0
5,M,es_food,28.85,0
0,F,es_hotelservices,131.99,0
2,F,es_transportation,5.31,0
1,F,es_transportation,18.95,0
3,F,es_transportation,13.37,0
2,F,es_transportation,29.67,0
3,F,es_transportation,42.74,0
1,F,es_transportation,30.9,0
2,F,es_transportation,21.92,0
3,F,es_transportation,11.06,0
4,F,es_transportation,4.89,0
5,M,es_transportation,25.21,0
2,M,es_transportation,4.7,0
2,F,es_transportation,18.7,0
4,F,es_transportation,4.18,0
2,M,es_transportation,29.65,0
3,M,es_transportation,16.17,0
3,M,es_transportation,29.93,0
3,F,es_transportation,7.79,0
2,F,es_transportation,46.68,0
4,F,es_transportation,6.8,0
1,F,es_transportation,15.77,0
2,M,es_transportation,8.73,0
2,F,es_transportation,22.68,0
4,M,es_transportation,21.26,0
1,M,es_wellnessandbeauty,54.82,0
2,M,es_transportation,36.11,0
2,F,es_transportation,37.77,0
1,F,es_transportation,28.28,0
3,F,es_transportation,42.32,0
5,F,es_transportation,9.52,0
5,F,es_transportation,21.24,0
2,F,es_transportation,27.96,0
3,M,es_transportation,31.55,0
3,M,es_transportation,55.54,0
4,F,es_transportation,66.51,0
3,F,es_transportation,27.91,0
5,F,es_transportation,5.96,0
3,F,es_transportation,27.28,0
4,F,es_transportation,18.01,0
5,F,es_transportation,25.06,0
3,M,es_transportation,8.43,0
2,M,es_transportation,27.29,0
4,F,es_transportation,41.04,0
4,M,es_transportation,2.29,0
2,F,es_transportation,20.88,0
2,M,es_transportation,17.13,0
6,F,es_health,172.21,0
1,M,es_transportation,50.43,0
4,M,es_transportation,66.56,0
2,F,es_transportation,48,0
4,F,es_transportation,40.24,0
4,M,es_transportation,17.9,0
2,M,es_transportation,38.13,0
1,M,es_transportation,26.44,0
4,F,es_transportation,37.71,0
3,M,es_food,35.79,0
3,F,es_transportation,1.0998,0
2,F,es_transportation,7.18,0
4,F,es_transportation,10.72,0
5,M,es_transportation,42.07,0
4,M,es_transportation,5.12,0
2,M,es_transportation,21.17,0
5,F,es_transportation,32.32,0
2,M,es_transportation,44,0
2,F,es_transportation,43.69,0
4,F,es_transportation,29.52,0
2,F,es_food,14.54,0
5,M,es_transportation,38.82,0
6,M,es_transportation,63.2,0
1,F,es_transportation,27.37,0
5,F,es_transportation,25.07,0
5,F,es_transportation,11.89,0
4,M,es_transportation,31.51,0
3,F,es_transportation,13.49,0
5,F,es_transportation,6.69,0
3,F,es_transportation,38.01,0
2,M,es_transportation,53.43,0
4,F,es_transportation,69.89,0
2,M,es_transportation,25.41,0
3,M,es_contents,158.97,0
1,M,es_transportation,16.38,0
2,M,es_transportation,31.14,0
3,M,es_transportation,27.2,0
2,F,es_transportation,11.73,0
5,F,es_transportation,35.47,0
3,M,es_transportation,61,0
2,M,es_transportation,9.73,0
3,F,es_transportation,25.43,0
3,M,es_transportation,31.27,0
5,M,es_home,134.16,0
3,F,es_transportation,16.25,0
2,F,es_transportation,62.5,0
4,M,es_transportation,26.63,0
2,M,es_home,85.97,0
4,F,es_transportation,38.6,0
4,F,es_transportation,31.69,0
5,F,es_transportation,37.19,0
6,M,es_transportation,5.84,0
2,F,es_transportation,76.35,0
2,F,es_transportation,11.27,0
3,F,es_transportation,16.87,0
3,F,es_transportation,7.72,0
4,F,es_transportation,19.15,0
3,M,es_transportation,33.03,0
4,F,es_transportation,5.66,0
4,M,es_transportation,13.34,0
3,F,es_home,35.13,0
1,F,es_transportation,42.27,0
3,M,es_transportation,19.22,0
5,F,es_transportation,14.69,0
3,F,es_transportation,22.43,0
2,M,es_transportation,1.0998,0
2,F,es_transportation,37.65,0
3,F,es_transportation,38.23,0
2,F,es_transportation,40.09,0
2,F,es_health,65.88,0
4,M,es_transportation,26.4,0
2,F,es_transportation,14.45,0
6,F,es_transportation,12.57,0
2,F,es_transportation,72.64,0
5,F,es_transportation,38.51,0
3,F,es_fashion,47.41,0
5,F,es_transportation,59.42,0
3,M,es_transportation,34.1,0
3,F,es_transportation,27.51,0
3,F,es_transportation,24.47,0
5,F,es_transportation,46.39,0
3,F,es_transportation,17.25,0
3,F,es_transportation,45.21,0
1,M,es_transportation,38,0
3,M,es_transportation,31.04,0
2,F,es_transportation,22.82,0
2,F,es_transportation,26.86,0
4,M,es_transportation,31.81,0
4,M,es_transportation,1.88,0
4,M,es_transportation,20.91,0
5,M,es_transportation,8.37,0
6,F,es_transportation,45.49,0
2,F,es_transportation,39.47,0
2,F,es_transportation,15.77,0
1,F,es_transportation,3.12,0
3,M,es_transportation,10.74,0
3,M,es_transportation,23.54,0
5,M,es_transportation,62.35,0
2,F,es_transportation,24.46,0
2,F,es_health,27.36,0
4,M,es_transportation,1.0998,0
6,M,es_transportation,4.15,0
2,F,es_transportation,29.48,0
1,F,es_transportation,27.98,0
2,M,es_transportation,53.73,0
2,F,es_transportation,29.21,0
2,F,es_transportation,27.96,0
2,M,es_fashion,167.23,0
2,M,es_home,31.22,0
3,M,es_transportation,1.0998,0
3,M,es_transportation,29.69,0
3,F,es_transportation,53.12,0
2,F,es_transportation,38.8,0
2,F,es_transportation,13.23,0
3,F,es_transportation,45.32,0
3,F,es_transportation,24.29,0
2,M,es_transportation,52.3,0
5,F,es_transportation,4.33,0
2,F,es_transportation,32.7,0
2,F,es_transportation,15.11,0
4,F,es_transportation,5.42,0
4,M,es_transportation,20.4,0
3,F,es_transportation,27.23,0
2,M,es_transportation,18.25,0
3,F,es_transportation,21.76,0
2,F,es_transportation,8.53,0
2,F,es_transportation,19.02,0
3,F,es_transportation,7.61,0
2,F,es_transportation,38.34,0
5,M,es_wellnessandbeauty,41.04,0
2,F,es_transportation,13.13,0
3,M,es_transportation,49.63,0
2,M,es_wellnessandbeauty,7.99,0
2,F,es_transportation,28.22,0
5,M,es_transportation,29.15,0
2,M,es_health,33.67,0
4,F,es_transportation,45.69,0
4,F,es_transportation,10.46,0
2,F,es_transportation,4.67,0
4,F,es_transportation,41.71,0
5,F,es_transportation,8.39,0
2,F,es_transportation,16,0
5,M,es_fashion,29.18,0
4,M,es_transportation,39.35,0
3,M,es_transportation,44.98,0
2,M,es_transportation,21.73,0
2,F,es_hotelservices,107.89,0
4,F,es_transportation,4.61,0
3,M,es_transportation,19.38,0
5,M,es_transportation,22.57,0
5,M,es_transportation,25.18,0
4,M,es_transportation,54.31,0
5,M,es_transportation,1.0998,0
2,M,es_transportation,15.04,0
3,M,es_transportation,36.8,0
3,F,es_transportation,12.26,0
1,F,es_transportation,24.69,0
3,M,es_health,187.5,0
1,F,es_transportation,14.21,0
1,F,es_transportation,28.91,0
4,F,es_barsandrestaurants,60.23,0
1,F,es_transportation,33.65,0
2,F,es_transportation,52.8,0
4,M,es_transportation,27.64,0
5,M,es_transportation,64.05,0
2,M,es_transportation,36.27,0
3,F,es_transportation,25.27,0
2,F,es_health,145.74,0
4,M,es_transportation,61.65,0
2,F,es_transportation,43.43,0
